row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị văn phòng Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.127,339.061,275.924,93.393,12.766,739.271,18127.0,339061.0,275924.0,93393.0,12766.0,739271.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,9.111,41.134,14.545,1.401,66.191,,9111.0,41134.0,14545.0,1401.0,66191.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(89.167),(26.649),(8.864),(1.810),(126.490),,-89167.0,-26649.0,-8864.0,-1810.0,-126490.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,18.127,259.005,290.409,99.074,12.357,678.972,18127.0,259005.0,290409.0,99074.0,12357.0,678972.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.253,195.193,168.569,77.942,9.818,455.775,4253.0,195193.0,168569.0,77942.0,9818.0,455775.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,828,20.600,17.315,7.617,709,47.069,828.0,20600.0,17315.0,7617.0,709.0,47069.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(72.817),(26.649),(8.864),(1.810),(110.140),,-72817.0,-26649.0,-8864.0,-1810.0,-110140.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.081,142.976,159.235,76.695,8.717,392.704,5081.0,142976.0,159235.0,76695.0,8717.0,392704.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,13.874,143.868,107.355,15.451,2.948,283.496,13874.0,143868.0,107355.0,15451.0,2948.0,283496.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,13.046,116.029,131.174,22.379,3.640,286.268,13046.0,116029.0,131174.0,22379.0,3640.0,286268.0
