row_label_raw,row_label_full,col_0,Dự phòng chung cho chứng khoán nợ sẵn sàng để bán Triệu VND,Dự phòng cụ thể cho chứng khoán nợ sẵn sàng để bán Triệu VND,TổngTriệu VND,numeric__Dự phòng chung cho chứng khoán nợ sẵn sàng để bán Triệu VND,numeric__Dự phòng cụ thể cho chứng khoán nợ sẵn sàng để bán Triệu VND,numeric__TổngTriệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,36.066,1.736,37.802,36066.0,1736.0,37802.0
Dự phòng trích lập (hoàn nhập) trong năm,Dự phòng trích lập (hoàn nhập) trong năm,Dự phòng trích lập (hoàn nhập) trong năm,4.865,(1.736),3.129,4865.0,-1736.0,3129.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,40.931,-,40.931,40931.0,,40931.0
