row_label_raw,row_label_full,col_0,Tỷ giá ngày > 31/12/2021 VND,Tỷ giá ngày > 31/12/2020 VND,numeric__Tỷ giá ngày > 31/12/2021 VND,numeric__Tỷ giá ngày > 31/12/2020 VND
AUD,AUD,AUD,16.593,17.822,16593.0,17822.0
CAD,CAD,CAD,17.974,18.165,17974.0,18165.0
CHF,CHF,CHF,24.892,26.198,24892.0,26198.0
KRW,KRW,KRW,19,21,19.0,21.0
EUR,EUR,EUR,25.981,28.517,25981.0,28517.0
GBP,GBP,GBP,30.958,31.567,30958.0,31567.0
HKD,HKD,HKD,2.920,2.980,2920.0,2980.0
JPY,JPY,JPY,199,225,199.0,225.0
SGD,SGD,SGD,16.934,17.503,16934.0,17503.0
THB,THB,THB,678,769,678.0,769.0
USD,USD,USD,22.840,23.200,22840.0,23200.0
XAU,XAU,XAU,6.110.000,5.582.500,6110000.0,5582500.0
