row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2021 Triệu VND,31/12/2020 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__31/12/2020 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt và vàng,4,1.076.028,1.012.228,,4.0,1076028.0,1012228.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam (“NHNNVN”),5,4.799.360,3.374.359,,5.0,4799360.0,3374359.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng (“TCTD”) khác,6,42.590.477,25.741.179,,6.0,42590477.0,25741179.0
1,A > 1,1,Tiền gửi tại các TCTD khác,,35.233.492,25.641.179,,,35233492.0,25641179.0
2,A > 2,2,Cho vay các TCTD khác,,7.356.985,100.000,,,7356985.0,100000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,13.082.630,2.693.849,,7.0,13082630.0,2693849.0
1,A > 1,1,Chứng khoán kinh doanh,,13.094.009,2.705.920,,,13094009.0,2705920.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,,(11.379),(12.071),,,-11379.0,-12071.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,19,-,144.604,,19.0,,144604.0
VI,A > VI,VI,Cho vay khách hàng,,125.806.542,107.760.914,,,125806542.0,107760914.0
1,A > 1,1,Cho vay khách hàng,8,127.588.159,108.869.236,,8.0,127588159.0,108869236.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(1.781.617),(1.108.322),,9.0,-1781617.0,-1108322.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,16.819.782,32.180.304,,,16819782.0,32180304.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10(a),16.199.886,31.901.137,,,16199886.0,31901137.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10(b),663.222,319.364,,,663222.0,319364.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,11,(43.326),(40.197),,11.0,-43326.0,-40197.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",12,85.091,102.912,,12.0,85091.0,102912.0
4,A > 4,4,Đầu tư dài hạn khác,,86.534,131.666,,,86534.0,131666.0
5,A > 5,5,Dự phòng giám giá đầu tư dài hạn,,(1.443),(28.754),,,-1443.0,-28754.0
X,A > X,X,Tài sản cố định (“TSCĐ”),,882.503,862.487,,,882503.0,862487.0
1,A > 1,1,Tài sản cố định hữu hình,13,286.268,283.496,,13.0,286268.0,283496.0
a,A > a,a,Nguyên giá,,678.972,739.271,,,678972.0,739271.0
b,A > b,b,Hao mòn TSCĐ,,(392.704),(455.775),,,-392704.0,-455775.0
3,A > 3,3,Tài sản cố định vô hình,14,596.235,578.991,,14.0,596235.0,578991.0
a,A > a,a,Nguyên giá,,760.635,741.512,,,760635.0,741512.0
b,A > b,b,Hao mòn TSCĐ,,(164.400),(162.521),,,-164400.0,-162521.0
XI,A > XI,XI,Bất động sản đầu tư,15,65.564,240.934,,15.0,65564.0,240934.0
a,A > a,a,Nguyên giá,,70.809,249.060,,,70809.0,249060.0
b,A > b,b,Hao mòn bất động sản đầu tư,,(5.245),(8.126),,,-5245.0,-8126.0
XII,A > XII,XII,Tài sản Có khác,16,6.455.538,6.093.518,,16.0,6455538.0,6093518.0
1,A > 1,1,Các khoản phải thu,,1.991.841,1.282.827,,,1991841.0,1282827.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,1.679.591,2.598.213,,,1679591.0,2598213.0
4,A > 4,4,Tài sản Có khác,,2.825.200,2.247.143,,,2825200.0,2247143.0
,,,Trong đó: Lợi thế thương mại,,480.637,551.843,,,480637.0,551843.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(41.094),(34.665),,,-41094.0,-34665.0
,,,TỔNG TÀI SẢN,,211.663.515,180.207.288,,,211663515.0,180207288.0
