row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtNghìn VND,"Nhà cửa,vật kiến trúcNghìn VND",Tổng cộngNghìn VND,numeric__Quyềnsử dụng đấtNghìn VND,"numeric__Nhà cửa,vật kiến trúcNghìn VND",numeric__Tổng cộngNghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,206.694,41.600,248.294,206694.0,41600.0,248294.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.864,-,4.864,4864.0,,4864.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(4.098),-,(4.098),-4098.0,,-4098.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,207.460,41.600,249.060,207460.0,41600.0,249060.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,6.777,6.777,,6777.0,6777.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,1.349,1.349,,1349.0,1349.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,8.126,8.126,,8126.0,8126.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,206.694,34.823,241.517,206694.0,34823.0,241517.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,207.460,33.474,240.934,207460.0,33474.0,240934.0
