row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2021 Triệu VND,31/12/2020 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2021 Triệu VND,numeric__31/12/2020 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
B,B,B,NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,17,2.172.763,205.702,,17.0,2172763.0,205702.0
II,B > II,II,Tiền gửi và vay các TCTD khác,18,58.365.998,42.516.673,,18.0,58365998.0,42516673.0
1,B > 1,1,Tiền gửi của các TCTD khác,,35.552.732,25.388.472,,,35552732.0,25388472.0
2,B > 2,2,Vay các TCTD khác,,22.813.266,17.128.201,,,22813266.0,17128201.0
III,B > III,III,Tiền gửi của khách hàng,19,109.784.637,113.276.597,,19.0,109784637.0,113276597.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,20,47.804,-,,20.0,47804.0,
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,1.020,1.020,,,1020.0,1020.0
VI,B > VI,VI,Phát hành giấy tờ có giá,21,19.053.200,7.064.740,,21.0,19053200.0,7064740.0
VII,B > VII,VII,Các khoản nợ khác,22,3.574.829,3.472.178,,22.0,3574829.0,3472178.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.947.979,3.065.150,,,2947979.0,3065150.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,626.850,407.028,,,626850.0,407028.0
,,,TỔNG NỘ PHẢI TRẢ,,193.000.251,166.536.910,,,193000251.0,166536910.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,23,18.663.264,13.670.378,,23.0,18663264.0,13670378.0
1,B > 1,1,Vốn,,15.595.507,12.087.442,,,15595507.0,12087442.0
a,B > a,a,Vốn điều lệ,,14.784.884,12.087.442,,,14784884.0,12087442.0
c,B > c,c,Thặng dư vốn cổ phần,,810.623,-,,,810623.0,
2,B > 2,2,Các quỹ của TCTD,,855.641,456.110,,,855641.0,456110.0
3,3,3,Chênh lệch tỷ giá hối đoái,,-,-,,,,
5,3 > 5,5,Lợi nhuận chưa phân phối,,2.212.116,1.126.826,,,2212116.0,1126826.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,18.663.264,13.670.378,,,18663264.0,13670378.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,211.663.515,180.207.288,,,211663515.0,180207288.0
