row_label_raw,row_label_full,(Triệu VND),Chưa quá hạn và chưa phải lập dự phòng,Đã quá hạn nhưng chưa phải lập dự phòng,Đã quá hạn và đã lập dự phòng,Tổng cộng,numeric__Chưa quá hạn và chưa phải lập dự phòng,numeric__Đã quá hạn nhưng chưa phải lập dự phòng,numeric__Đã quá hạn và đã lập dự phòng,numeric__Tổng cộng
Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,4.799.360,-,-,4.799.360,4799360.0,,,4799360.0
Tiền gửi và cho vay các tổ chức tín dụng khác - gộp,Tiền gửi và cho vay các tổ chức tín dụng khác - gộp,Tiền gửi và cho vay các tổ chức tín dụng khác - gộp,42.590.477,-,-,42.590.477,42590477.0,,,42590477.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,124.756.129,518.102,2.313.928,127.588.159,124756129.0,518102.0,2313928.0,127588159.0
Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,16.863.108,-,-,16.863.108,16863108.0,,,16863108.0
Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,3.630.338,-,41.094,3.671.432,3630338.0,,41094.0,3671432.0
,,,192.639.412,518.102,2.355.022,195.512.536,192639412.0,518102.0,2355022.0,195512536.0
