row_label_raw,row_label_full,col_0,Tại ngày 31 tháng Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),12 năm 2021 Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán năm),Tại ngày 31 tháng 12 năm 2020 Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán năm),numeric__Tại ngày 31 tháng Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__12 năm 2021 Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán năm),numeric__Tại ngày 31 tháng 12 năm 2020 Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày kết thúc kỳ kế toán năm)
,,,Triệu VND,Tài sản Triệu VND,Triệu VND,Tài sản Triệu VND,,,,
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,44.384.185,4.052,33.847.379,45.006,44384185.0,4052.0,33847379.0,45006.0
Giao dịch kỳ hạn lãi suất,Giao dịch kỳ hạn lãi suất,Giao dịch kỳ hạn lãi suất,-,-,6.391,(11),,,6391.0,-11.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,92.696.124,(104.126),47.238.782,99.584,92696124.0,-104126.0,47238782.0,99584.0
Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,3.478.270,52.270,4.304.914,25,3478270.0,52270.0,4304914.0,25.0
,,,140.558.579,(47.804),85.397.466,144.604,140558579.0,-47804.0,85397466.0,144604.0
