row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Nam tal chính kết trongngày 31 tháng 12 năm,Nam tal chính kết trongngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Nam tal chính kết trongngày 31 tháng 12 năm,numeric__Nam tal chính kết trongngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2020VND,2019VND,,,,
01,Mãsố > 01,01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỒNG KINH DOANHLợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,,1.302.865.700.088,1.449.577.271.633,,,1302865700088.0,1449577271633.0
02,Mãsố > 02,02,"Khấu hao tài sản cố định (""TSCĐ"")",,43.028.953.790,34.838.963.175,,,43028953790.0,34838963175.0
03,Mãsố > 03,03,Các khoản dự phòng,,51.747.998.745,30.000.000.000,,,51747998745.0,30000000000.0
04,Mãsố > 04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lạicác khoản mục tiền tệ có gốc ngoại tệ,,(247.150.460),(1.242.529.054),,,-247150460.0,-1242529054.0
05,Mãsố > 05,05,Lãi tử hoạt động đầu tư,,(186.563.446),(3.740.518.903),,,-186563446.0,-3740518903.0
06,Mãsố > 06,06,Chi phí lãi vay,,132.606.524.473,109.701.338.257,,,132606524473.0,109701338257.0
08,Mãsố > 08,08,Lợi nhuận tử hoạt động kinh doanh trước nhữngthay đổi vốn lưu động,,1.529.815.463.190,1.619.134.525.108,,,1529815463190.0,1619134525108.0
09,Mãsố > 09,09,Giảm/(tăng) các khoản phải thu,,191.081.790.952,(711.312.404.770),,,191081790952.0,-711312404770.0
10,Mãsố > 10,10,Giảm/(tăng) hàng tồn kho,,54.427.868.393,(780.175.746.510),,,54427868393.0,-780175746510.0
11,Mãsố > 11,11,(Giảm)/tăng các khoản phải trả,,(69.313.595.461),154.122.437.896,,,-69313595461.0,154122437896.0
12,Mãsố > 12,12,Tăng chí phí trả trước,,(43.176.372.081),(38.683.530.822),,,-43176372081.0,-38683530822.0
14,Mãsố > 14,14,Tiền lãi vay đã trả,,(133.501.763.936),(108.653.972.896),,,-133501763936.0,-108653972896.0
15,Mãsố > 15,15,Thuế TNDN đã nộp,,(237.842.086.643),(275.691.386.747),,,-237842086643.0,-275691386747.0
17,Mãsố > 17,17,Tiền chi khác tử hoạt động kinh doanh,,(34.492.822.139),(20.260.223.341),,,-34492822139.0,-20260223341.0
20,Mãsố > 20,20,Lưu chuyển tiền thuần tử hoạt động kinh doanh,,1.256.998.482.275,(161.520.302.082),,,1256998482275.0,-161520302082.0
21,Mãsố > 21,21,"LU'U CHUYÊN TIÊN TỪ HOẠT ĐỒNG ĐẦU TƯ'Tiền chỉ để mua sắm, xây dựng TSCĐ và các tàisản dài hạn khác",,(31.943.696.474),(189.614.177.470),,,-31943696474.0,-189614177470.0
22,Mãsố > 22,22,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,133.567.536,1.774.979.478,,,133567536.0,1774979478.0
23,Mãsố > 23,23,Tiền chỉ cho vay,,-,(94.000.000.000),,,,-94000000000.0
24,Mãsố > 24,24,Tiền thu hồi cho vay,,50.000.000.000,-,,,50000000000.0,
25,Mãsố > 25,25,Tiền chỉ đầu tư góp vốn vào đơn vị khác,,(170.000.000.000),(10.000.000.000),,,-170000000000.0,-10000000000.0
27,Mãsố > 27,27,"Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia",,102.132.124,2.428.864.048,,,102132124.0,2428864048.0
30,Mãsố > 30,30,Lưu chuyển tiền thuần tử hoạt động đầu tư,,(151.707.996.814),(289.410.333.944),,,-151707996814.0,-289410333944.0
31,Mãsố > 31,31,"LU'U CHUYÊN TIÊN TỪ HOẠT ĐỒNG TẢI CHÍNHTiền thu từ phát hành cổ phiếu, nhận vốn góp củachủ sở hữu",,46.375.540.000,68.932.500.000,,,46375540000.0,68932500000.0
32,Mãsố > 32,32,Tiền chỉ mua lại cổ phiếu đã phát hành,,(1.283.000.000),(2.094.000.000),,,-1283000000.0,-2094000000.0
33,Mãsố > 33,33,Tiền thu từ đi vay,,6.389.152.533.973,5.047.550.445.086,,,6389152533973.0,5047550445086.0
34,Mãsố > 34,34,Tiền chỉ trả nợ gốc vay,,(7.038.805.836.501),(4.387.362.004.881),,,-7038805836501.0,-4387362004881.0
36,Mãsố > 36,36,Tiền chỉ trả cổ tức,,(355.099.739.283),(343.875.424.770),,,-355099739283.0,-343875424770.0
40,Mãsố > 40,40,Lưu chuyển thuần tử hoạt động tài chính,,(959.660.501.811),383.151.515.435,,,-959660501811.0,383151515435.0
50,Mãsố > 50,50,Lưu chuyển tiền thuần trong năm,,145.629.983.650,(67.779.120.591),,,145629983650.0,-67779120591.0
60,Mãsố > 60,60,Tiền đầu năm,3,82.586.849.294,150.227.254.450,,3.0,82586849294.0,150227254450.0
61,Mãsố > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,247.150.460,138.715.435,,,247150460.0,138715435.0
70,Mãsố > 70,70,Tiền cuối năm,3,228.463.983.404,82.586.849.294,,3.0,228463983404.0,82586849294.0
Nguyễn Thành ĐạtNgười lập,Nguyễn Thành ĐạtNgười lập,Nguyễn Thành ĐạtNgười lập,Nguyễn Thành ĐạtNgười lập,Dương Quang HảiKế toán trường,Dương Quang HảiKế toán trường,Lê Trí ThôngTổng Giám đốcNgày 15 tháng 3 năm 2021,,,,
