row_label_raw,row_label_full,Nguyên giá,Nguyên giá_1,Nguyên giá_2,Nguyên giá_3,Nguyên giá_4,Nguyên giá_5,numeric__Nguyên giá_1,numeric__Nguyên giá_2,numeric__Nguyên giá_3,numeric__Nguyên giá_4,numeric__Nguyên giá_5
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,148.336.281.191,40.810.468.790,30.170.753.351,84.088.246.323,303.405.749.655,148336281191.0,40810468790.0,30170753351.0,84088246323.0,303405749655.0
Mua trong năm,Mua trong năm,Mua trong năm,8.774.948.708,8.266.018.366,-,10.054.098.498,27.095.065.572,8774948708.0,8266018366.0,,10054098498.0,27095065572.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.450.852.936),-,(281.671.628),(1.732.524.564),,-1450852936.0,,-281671628.0,-1732524564.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,157.111.229.899,47.625.634.220,30.170.753.351,93.860.673.193,328.768.290.663,157111229899.0,47625634220.0,30170753351.0,93860673193.0,328768290663.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,44.008.607.930,24.730.427.324,13.681.549.200,38.235.953.325,120.656.537.779,44008607930.0,24730427324.0,13681549200.0,38235953325.0,120656537779.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.398.762.243,6.630.159.402,3.658.981.212,12.141.593.691,29.829.496.548,7398762243.0,6630159402.0,3658981212.0,12141593691.0,29829496548.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.401.716.722),-,(281.671.628),(1.683.388.350),,-1401716722.0,,-281671628.0,-1683388350.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,51.407.370.173,29.958.870.004,17.340.530.412,50.095.875.388,148.802.645.977,51407370173.0,29958870004.0,17340530412.0,50095875388.0,148802645977.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,104.327.673.261,16.080.041.466,16.489.204.151,45.852.292.998,182.749.211.876,104327673261.0,16080041466.0,16489204151.0,45852292998.0,182749211876.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,105.703.859.726,17.666.764.216,12.830.222.939,43.764.797.805,179.965.644.686,105703859726.0,17666764216.0,12830222939.0,43764797805.0,179965644686.0
