row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,2018Triệu VND,2017Triệu VND,numeric__Tính chất giao dịch,numeric__2018Triệu VND,numeric__2017Triệu VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Ngân hàng Thương mại,Công ty liên kết > Ngân hàng Thương mại,Ngân hàng Thương mại,Khoản cho vay đã nhận,1.651.044,1.194.607,,1651044.0,1194607.0
Cổ phần Kỹ thương,Công ty liên kết > Cổ phần Kỹ thương,Cổ phần Kỹ thương,Khoản cho vay đã trả,1.406.719,977.696,,1406719.0,977696.0
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Trái phiếu phát hành (*),3.800.000,3.000.000,,3800000.0,3000000.0
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Trái phiếu mua lại,885.204,-,,885204.0,
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Mua chứng khoán kinh doanh,2.016.734,-,,2016734.0,
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Bán chứng khoán kinh doanh,504.274,-,,504274.0,
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Chi phí lãi vay,122.123,202.160,,122123.0,202160.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Thành viên trong Hội đồng,Các bên liên quan khác > Thành viên trong Hội đồng,Thành viên trong Hội đồng,Bán hàng cho một công ty liên quan của thành viên này,720.924,-,,720924.0,
Thành viên của một công ty con,Thành viên của một công ty con,Thành viên của một công ty con,,,,,,
Ban quản lý chủ chốt,Thành viên của một công ty con > Ban quản lý chủ chốt,Ban quản lý chủ chốt,Thù lao trả cho Ban quản lý chủ chốt (**),148.983,120.819,,148983.0,120819.0
