row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2018Triệu VND,1/1/2018Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018Triệu VND,numeric__1/1/2018Triệu VND
Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),200,,52.078.995,48.383.585,200.0,,52078995.0,48383585.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,7,1.377.124,1.453.961,210.0,7.0,1377124.0,1453961.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,,-,96.400,215.0,,,96400.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,1.377.124,1.357.561,216.0,,1377124.0,1357561.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,29.203.764,29.829.534,220.0,,29203764.0,29829534.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,9,23.798.207,23.768.050,221.0,9.0,23798207.0,23768050.0
Nguyên giá,Nguyên giá,Nguyên giá,222,,31.906.656,29.897.094,222.0,,31906656.0,29897094.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,,(8.108.449),(6.129.044),223.0,,-8108449.0,-6129044.0
Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,Tài sản cố định hữu hình thuê tài chính,224,10,-,4.487,224.0,10.0,,4487.0
Nguyên giá,Nguyên giá,Nguyên giá,225,,67.300,67.300,225.0,,67300.0,67300.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,226,,(67.300),(62.813),226.0,,-67300.0,-62813.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,11,5.405.557,6.056.997,227.0,11.0,5405557.0,6056997.0
Nguyên giá,Nguyên giá,Nguyên giá,228,,8.015.798,8.112.958,228.0,,8015798.0,8112958.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,229,,(2.610.241),(2.055.961),229.0,,-2610241.0,-2055961.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,2.171.342,1.838.001,240.0,,2171342.0,1838001.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,12,2.171.342,1.838.001,242.0,12.0,2171342.0,1838001.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,6,15.347.915,11.338.355,250.0,6.0,15347915.0,11338355.0
Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,Đầu tư vào các công ty liên kết,252,,15.328.811,11.321.627,252.0,,15328811.0,11321627.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,21.646,21.646,253.0,,21646.0,21646.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,254,,(8.442),(4.918),254.0,,-8442.0,-4918.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,255,,5.900,-,255.0,,5900.0,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,3.978.850,3.923.734,260.0,,3978850.0,3923734.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,13,3.164.050,2.990.882,261.0,13.0,3164050.0,2990882.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,14,295.261,300.831,262.0,14.0,295261.0,300831.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,15,519.539,632.021,269.0,15.0,519539.0,632021.0
TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),TỔNG TÀI SẢN (270 = 100 + 200),270,,64.578.613,63.528.522,270.0,,64578613.0,63528522.0
