row_label_raw,row_label_full,col_0,Thực phẩm và đồ uống > 31/12/2018Triệu VND,Thực phẩm và đồ uống > 1/1/2018Triệu VND,Chuỗi giá trị thịt > 31/12/2018Triệu VND,Chuỗi giá trị thịt > 1/1/2018Triệu VND,Khai thác mỏ và chế biến khoáng sản > 31/12/2018Triệu VND,Khai thác mỏ và chế biến khoáng sản > 1/1/2018Triệu VND,Khác > 31/12/2018Triệu VND,Khác > 1/1/2018Triệu VND,Tổng > 31/12/2018Triệu VND,Tổng > 1/1/2018Triệu VND,numeric__Thực phẩm và đồ uống > 31/12/2018Triệu VND,numeric__Thực phẩm và đồ uống > 1/1/2018Triệu VND,numeric__Chuỗi giá trị thịt > 31/12/2018Triệu VND,numeric__Chuỗi giá trị thịt > 1/1/2018Triệu VND,numeric__Khai thác mỏ và chế biến khoáng sản > 31/12/2018Triệu VND,numeric__Khai thác mỏ và chế biến khoáng sản > 1/1/2018Triệu VND,numeric__Khác > 31/12/2018Triệu VND,numeric__Khác > 1/1/2018Triệu VND,numeric__Tổng > 31/12/2018Triệu VND,numeric__Tổng > 1/1/2018Triệu VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,10.673.223,13.520.910,13.121.985,13.997.847,26.804.958,25.954.685,12.918.583,8.910.399,63.518.749,62.383.841,10673223.0,13520910.0,13121985.0,13997847.0,26804958.0,25954685.0,12918583.0,8910399.0,63518749.0,62383841.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,1.059.864,1.144.681,,,,,,,,,1059864.0,1144681.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,,64.578.613,63.528.522,,,,,,,,,64578613.0,63528522.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,6.343.517,6.537.706,5.629.300,6.093.569,13.174.819,14.005.091,-,-,25.147.636,26.636.366,6343517.0,6537706.0,5629300.0,6093569.0,13174819.0,14005091.0,,,25147636.0,26636366.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,5.351.299,16.666.961,,,,,,,,,5351299.0,16666961.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,30.498.935,43.303.327,,,,,,,,,30498935.0,43303327.0
,,,2018Triệu VND,2017Triệu VND,2018Triệu VND,2017Triệu VND,2018Triệu VND,2017Triệu VND,2018Triệu VND,2017Triệu VND,2018Triệu VND,2017Triệu VND,,,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,477.605,516.239,1.075.988,653.732,1.076.471,940.731,-,-,2.630.064,2.110.702,477605.0,516239.0,1075988.0,653732.0,1076471.0,940731.0,,,2630064.0,2110702.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,,,8.402,321,8.402,321,,,,,,,8402.0,321.0,8402.0,321.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,598.560,584.985,292.107,269.027,1.144.280,1.089.403,-,-,2.034.947,1.943.415,598560.0,584985.0,292107.0,269027.0,1144280.0,1089403.0,,,2034947.0,1943415.0
Chi phí khấu hao không phân bổ,Chi phí khấu hao không phân bổ,Chi phí khấu hao không phân bổ,,,,,,,1.749,1.717,1.749,1.717,,,,,,,1749.0,1717.0,1749.0,1717.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,298.444,301.943,430.458,421.313,204.947,209.082,-,-,933.849,932.338,298444.0,301943.0,430458.0,421313.0,204947.0,209082.0,,,933849.0,932338.0
Chi phí phân bổ không phân bổ,Chi phí phân bổ không phân bổ,Chi phí phân bổ không phân bổ,,,,,,,45.047,46.395,45.047,46.395,,,,,,,45047.0,46395.0,45047.0,46395.0
