row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,717.188,1.078.138,46.953,79.406,4.154.155,53.204,6.129.044,717188.0,1078138.0,46953.0,79406.0,4154155.0,53204.0,6129044.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,204.274,450.118,12.019,15.425,1.332.459,19.303,2.033.598,204274.0,450118.0,12019.0,15425.0,1332459.0,19303.0,2033598.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(329),-,-,(49),-,(378),,-329.0,,,-49.0,,-378.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(4),-,(413),(23.366),(17.097),(40.880),,-4.0,,-413.0,-23366.0,-17097.0,-40880.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(2.579),-,(901),(2.175),(7.280),(12.935),,-2579.0,,-901.0,-2175.0,-7280.0,-12935.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(162),-,-,162,-,-,,-162.0,,,162.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,921.462,1.525.182,58.972,93.517,5.461.186,48.130,8.108.449,921462.0,1525182.0,58972.0,93517.0,5461186.0,48130.0,8108449.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.309.104,6.021.485,37.238,61.252,13.275.768,63.203,23.768.050,4309104.0,6021485.0,37238.0,61252.0,13275768.0,63203.0,23768050.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.104.830,6.877.536,31.521,54.816,12.678.926,50.578,23.798.207,4104830.0,6877536.0,31521.0,54816.0,12678926.0,50578.0,23798207.0
