row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2018 Triệu VND,1/1/2018 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018 Triệu VND,numeric__1/1/2018 Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,34.079.678,20.225.195,400.0,,34079678.0,20225195.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,21,34.079.678,20.225.195,410.0,21.0,34079678.0,20225195.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,22,11.631.495,11.573.740,411.0,22.0,11631495.0,11573740.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,22,11.084.417,6.855.539,412.0,22.0,11084417.0,6855539.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(9.426.958),(9.426.958),414.0,,-9426958.0,-9426958.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,22,-,(6.518.087),415.0,22.0,,-6518087.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,4.402,2.431,417.0,,4402.0,2431.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,16.193.388,12.350.048,421.0,,16193388.0,12350048.0
- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,12.350.048,7.015.545,,,12350048.0,7015545.0
- Lợi nhuận sau thuế năm nay,- Lợi nhuận sau thuế năm nay,- Lợi nhuận sau thuế năm nay,421b,,3.843.340,5.334.503,,,3843340.0,5334503.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,4.592.934,5.388.482,429.0,,4592934.0,5388482.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,64.578.613,63.528.522,440.0,,64578613.0,63528522.0
