row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.026.292,7.099.623,84.191,140.658,17.429.923,116.407,29.897.094,5026292.0,7099623.0,84191.0,140658.0,17429923.0,116407.0,29897094.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,14.413,-,3.648,34.483,2.744,55.288,,14413.0,,3648.0,34483.0,2744.0,55288.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,1.296.368,6.302,5.342,716.550,6.569,2.031.131,,1296368.0,6302.0,5342.0,716550.0,6569.0,2031131.0
Chuyển sang chi phí trả trước ngắn hạn,Nguyên giá > Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,-,-,(49),-,(49),,,,,-49.0,,-49.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(3.077),-,-,(284),-,(3.361),,-3077.0,,,-284.0,,-3361.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(38),-,(413),(39.657),(19.049),(59.157),,-38.0,,-413.0,-39657.0,-19049.0,-59157.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,-,(3.224),-,(902),(2.201),(7.963),(14.290),,-3224.0,,-902.0,-2201.0,-7963.0,-14290.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(1.347),-,-,1.347,-,-,,-1347.0,,,1347.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.026.292,8.402.718,90.493,148.333,18.140.112,98.708,31.906.656,5026292.0,8402718.0,90493.0,148333.0,18140112.0,98708.0,31906656.0
