row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2018 Triệu VND,2017 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2018 Triệu VND,numeric__2017 Triệu VND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,01,25,39.378.747,38.980.236,1.0,25.0,39378747.0,38980236.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,25,1.191.130,1.359.590,2.0,25.0,1191130.0,1359590.0
Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),10,25,38.187.617,37.620.646,10.0,25.0,38187617.0,37620646.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,26,26.306.208,25.988.836,11.0,26.0,26306208.0,25988836.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,11.881.409,11.631.810,20.0,,11881409.0,11631810.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,27,1.901.793,1.404.660,21.0,27.0,1901793.0,1404660.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,28,3.090.914,3.695.584,22.0,28.0,3090914.0,3695584.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,2.667.531,3.185.361,23.0,,2667531.0,3185361.0
Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,24,,1.914.340,2.044.230,24.0,,1914340.0,2044230.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,29,4.314.253,5.290.872,25.0,29.0,4314253.0,5290872.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,30,2.015.388,1.912.357,26.0,30.0,2015388.0,1912357.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,6.276.987,4.181.887,30.0,,6276987.0,4181887.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,14.708,17.557,31.0,,14708.0,17557.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,47.871,60.807,32.0,,47871.0,60807.0
Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),Kết quả từ các hoạt động khác (40 = 31 - 32),40,,(33.163),(43.250),40.0,,-33163.0,-43250.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40) (mang sang trang sau),Lợi nhuận kế toán trước thuế (50 = 30 + 40) (mang sang trang sau),Lợi nhuận kế toán trước thuế (50 = 30 + 40) (mang sang trang sau),50,,6.243.824,4.138.637,50.0,,6243824.0,4138637.0
