row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Chi phí trước hoạt động Triệu VND,Chi phí đất trả trước Triệu VND,Chi phí bồi thường đất Triệu VND,"Trực in, công cụ và dụng cụ Triệu VND",Lợi thế kinh doanh từ cổ phần hóa Triệu VND,Chi phí khác Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Chi phí trước hoạt động Triệu VND,numeric__Chi phí đất trả trước Triệu VND,numeric__Chi phí bồi thường đất Triệu VND,"numeric__Trực in, công cụ và dụng cụ Triệu VND",numeric__Lợi thế kinh doanh từ cổ phần hóa Triệu VND,numeric__Chi phí khác Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.238.694,4.094,413.718,1.081.306,112.274,25.076,115.720,2.990.882,1238694.0,4094.0,413718.0,1081306.0,112274.0,25076.0,115720.0,2990882.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,270.211,-,103,-,21.229,-,90.627,382.170,270211.0,,103.0,,21229.0,,90627.0,382170.0
Chuyển từ phải thu dài hạn khác,Chuyển từ phải thu dài hạn khác,Chuyển từ phải thu dài hạn khác,-,-,-,14.419,-,-,-,14.419,,,,14419.0,,,,14419.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,-,234,-,2.749,2.983,,,,,234.0,,2749.0,2983.0
Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,Chuyển từ tài sản cố định vô hình,-,-,53.437,-,828,-,-,54.265,,,53437.0,,828.0,,,54265.0
Chuyển từ/(sang) chi phí xây dựng cơ bản dở dang,Chuyển từ/(sang) chi phí xây dựng cơ bản dở dang,Chuyển từ/(sang) chi phí xây dựng cơ bản dở dang,-,-,(841),4.693,24.650,-,777,29.279,,,-841.0,4693.0,24650.0,,777.0,29279.0
Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,-,-,-,-,410,-,-,410,,,,,410.0,,,410.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(80.579),(4.094),(8.365),(68.795),(69.302),(3.135),(76.104),(310.374),-80579.0,-4094.0,-8365.0,-68795.0,-69302.0,-3135.0,-76104.0,-310374.0
Xóa sổ,Xóa sổ,Xóa sổ,-,-,-,-,(18),-,-,(18),,,,,-18.0,,,-18.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,23,-,(25.244),-,25.221,-,,,23.0,,-25244.0,,25221.0,
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,-,34,-,-,34,,,,,34.0,,,34.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.428.326,-,458.075,1.031.623,65.095,21.941,158.990,3.164.050,1428326.0,,458075.0,1031623.0,65095.0,21941.0,158990.0,3164050.0
