row_label_raw,row_label_full,col_0,Vốn cổ phần Triệu VND,Thặng dư vốn cổ phần Triệu VND,Vốn khác của chủ sở hữu Triệu VND,Cổ phiếu quỹ Triệu VND,Chênh lệch tỷ giá hối đoái Triệu VND,Lợi nhuận sau thuế chưa phân phối Triệu VND,Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,Lợi ích cổ đông không kiểm soát Triệu VND,Tổng Triệu VND,numeric__Vốn cổ phần Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Vốn khác của chủ sở hữu Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Chênh lệch tỷ giá hối đoái Triệu VND,numeric__Lợi nhuận sau thuế chưa phân phối Triệu VND,numeric__Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,numeric__Lợi ích cổ đông không kiểm soát Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,7.680.757,10.649.796,(9.426.958),(641.110),(1.874),7.015.545,15.276.156,5.036.469,20.312.625,7680757.0,10649796.0,-9426958.0,-641110.0,-1874.0,7015545.0,15276156.0,5036469.0,20312625.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,3.794.207,(3.794.207),-,-,-,-,-,-,-,3794207.0,-3794207.0,,,,,,,
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,98.776,(50),-,-,-,-,98.726,-,98.726,98776.0,-50.0,,,,,98726.0,,98726.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(5.876.977),-,-,(5.876.977),-,(5.876.977),,,,-5876977.0,,,-5876977.0,,-5876977.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,2.231.839,2.231.839,666.338,2.898.177,,,,,,2231839.0,2231839.0,666338.0,2898177.0
Góp vốn bởi cổ đông không kiểm soát trong một công ty con,Góp vốn bởi cổ đông không kiểm soát trong một công ty con,Góp vốn bởi cổ đông không kiểm soát trong một công ty con,-,-,-,-,-,-,-,10,10,,,,,,,,10.0,10.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,3.102.664,3.102.664,505.026,3.607.690,,,,,,3102664.0,3102664.0,505026.0,3607690.0
Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,-,-,-,-,-,-,-,(820.263),(820.263),,,,,,,,-820263.0,-820263.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,-,4.305,-,4.305,902,5.207,,,,,4305.0,,4305.0,902.0,5207.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,11.573.740,6.855.539,(9.426.958),(6.518.087),2.431,12.350.048,14.836.713,5.388.482,20.225.195,11573740.0,6855539.0,-9426958.0,-6518087.0,2431.0,12350048.0,14836713.0,5388482.0,20225195.0
