row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm(Trình bày lại),numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bất động sản (i)","Ngắn hạn > Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bất động sản (i)","Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bất động sản (i)",59.778.307,39.129.586,59778307.0,39129586.0
Nhận góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh với các đối tác (ii),Ngắn hạn > Nhận góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh với các đối tác (ii),Nhận góp vốn theo hợp đồng hợp tác đầu tư và kinh doanh với các đối tác (ii),37.204.314,13.331.422,37204314.0,13331422.0
Đặt cọc cho hoạt động đầu tư,Ngắn hạn > Đặt cọc cho hoạt động đầu tư,Đặt cọc cho hoạt động đầu tư,10.890.737,7.659.044,10890737.0,7659044.0
Phải trả theo thư tín dụng (iii) (Thuyết minh số 42),Ngắn hạn > Phải trả theo thư tín dụng (iii) (Thuyết minh số 42),Phải trả theo thư tín dụng (iii) (Thuyết minh số 42),5.831.960,7.637.320,5831960.0,7637320.0
Quỹ bảo trì căn hộ (iv),Ngắn hạn > Quỹ bảo trì căn hộ (iv),Quỹ bảo trì căn hộ (iv),1.927.032,2.241.767,1927032.0,2241767.0
"Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Ngắn hạn > Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Đặt cọc từ khách hàng thuê mặt bằng kinh doanh, văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo",601.107,561.557,601107.0,561557.0
Phải trả ngắn hạn khác,Ngắn hạn > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,6.549.684,4.998.097,6549684.0,4998097.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,122.783.141,75.558.793,122783141.0,75558793.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác cho bên liên quan(Thuyết minh số 36),Trong đó: > Phải trả ngắn hạn khác cho bên liên quan(Thuyết minh số 36),Phải trả ngắn hạn khác cho bên liên quan(Thuyết minh số 36),72.654,135.059,72654.0,135059.0
Phải trả ngắn hạn khác cho các đối tác khác,Trong đó: > Phải trả ngắn hạn khác cho các đối tác khác,Phải trả ngắn hạn khác cho các đối tác khác,122.710.487,75.423.734,122710487.0,75423734.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bất động sản (i)","Dài hạn > Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bất động sản (i)","Tiền thu từ các thỏa thuận đặt cọc và hợp đồng, thỏa thuận khác liên quan đến các dự án bất động sản (i)",4.620.000,-,4620000.0,
"Đặt cọc từ khách hàng thuê mặt bằng kinh doanh,văn phòng","Dài hạn > Đặt cọc từ khách hàng thuê mặt bằng kinh doanh,văn phòng","Đặt cọc từ khách hàng thuê mặt bằng kinh doanh,văn phòng",1.672.646,1.468.294,1672646.0,1468294.0
"Trừ: Đặt cọc từ khách hàng thuê mặt bằng kinh doanh,văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Dài hạn > Trừ: Đặt cọc từ khách hàng thuê mặt bằng kinh doanh,văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo","Trừ: Đặt cọc từ khách hàng thuê mặt bằng kinh doanh,văn phòng phải hoàn trả trong vòng 12 tháng tiếp theo",(601.107),(561.557),-601107.0,-561557.0
Đặt cọc cho hoạt động đầu tư,Dài hạn > Đặt cọc cho hoạt động đầu tư,Đặt cọc cho hoạt động đầu tư,519.233,519.233,519233.0,519233.0
Phải trả dài hạn khác,Dài hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,1.113.643,534.535,1113643.0,534535.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,7.324.415,1.960.505,7324415.0,1960505.0
