row_label_raw,row_label_full,Công ty TNHH Kinh doanh Bất động sản MV1 Việt Nam,"Số cuối năm > Tỷ lệ sở hữu (%) > 19,83","Số cuối năm > Tỷ lệ biểu quyết (%) > 19,83",Số cuối năm > Giá gốc (triệu VND) > 2.593.324,Số cuối năm > Dự phòng (triệu VND) > -,Số cuối năm > Giá trị hợp lý (triệu VND) > (*),"Số đầu năm > Tỷ lệ sở hữu (%) > 19,83","Số đầu năm > Tỷ lệ biểu quyết (%) > 19,83",Số đầu năm > Giá gốc (triệu VND) > 2.593.324,Số đầu năm > Dự phòng (triệu VND) > -,Số đầu năm > Giá trị hợp lý (triệu VND) > (*),"numeric__Số cuối năm > Tỷ lệ sở hữu (%) > 19,83","numeric__Số cuối năm > Tỷ lệ biểu quyết (%) > 19,83",numeric__Số cuối năm > Giá gốc (triệu VND) > 2.593.324,numeric__Số cuối năm > Dự phòng (triệu VND) > -,numeric__Số cuối năm > Giá trị hợp lý (triệu VND) > (*),"numeric__Số đầu năm > Tỷ lệ sở hữu (%) > 19,83","numeric__Số đầu năm > Tỷ lệ biểu quyết (%) > 19,83",numeric__Số đầu năm > Giá gốc (triệu VND) > 2.593.324,numeric__Số đầu năm > Dự phòng (triệu VND) > -,numeric__Số đầu năm > Giá trị hợp lý (triệu VND) > (*)
Hối phiếu nhận nợ (i),Hối phiếu nhận nợ (i),Hối phiếu nhận nợ (i),-,-,1.917.398,-,(*),-,-,-,-,-,,,1917398.0,,,,,,,
Công ty Cổ phần Kinh doanh Bất động sản MV2 Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản MV2 Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản MV2 Việt Nam,"19,73","19,73",1.874.790,-,(*),"19,73","19,73",1.874.790,-,(*),19.73,19.73,1874790.0,,,19.73,19.73,1874790.0,,
Hợp đồng đầu tư (ii),Hợp đồng đầu tư (ii),Hợp đồng đầu tư (ii),-,-,1.854.160,(640.659),(*),-,-,-,-,-,,,1854160.0,-640659.0,,,,,,
Prologium Holdings Ltd,Prologium Holdings Ltd,Prologium Holdings Ltd,"2,08","2,08",1.204.000,-,(*),"2,05","2,05",1.170.500,-,(*),2.08,2.08,1204000.0,,,2.05,2.05,1170500.0,,
Công ty TNHH StoreDot,Công ty TNHH StoreDot,Công ty TNHH StoreDot,"3,75","3,75",937.268,-,(*),"3,77","3,77",937.268,-,(*),3.75,3.75,937268.0,,,3.77,3.77,937268.0,,
Công ty Cổ phần Kinh doanh Bất động sản MV Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản MV Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản MV Việt Nam,"19,82","19,82",614.958,-,(*),"19,82","19,82",614.958,-,(*),19.82,19.82,614958.0,,,19.82,19.82,614958.0,,
Công ty Phát Đạt (iii),Công ty Phát Đạt (iii),Công ty Phát Đạt (iii),"7,93","7,93",597.579,-,(*),-,-,-,-,-,7.93,7.93,597579.0,,,,,,,
Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông,Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông,Công ty TNHH Đầu tư Phát triển Đô thị Ngọc Viễn Đông,"9,62","9,62",521.072,-,(*),"9,62","9,62",521.072,-,(*),9.62,9.62,521072.0,,,9.62,9.62,521072.0,,
Công ty Cổ phần Kinh doanh Bất động sản S-Vin Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản S-Vin Việt Nam,Công ty Cổ phần Kinh doanh Bất động sản S-Vin Việt Nam,"10,00","10,00",363.621,-,(*),"10,00","10,00",363.621,-,(*),10.0,10.0,363621.0,,,10.0,10.0,363621.0,,
"Công ty TNHH Đầu tư Kinh doanh Thương mại Phát Lộc (""Công ty Phát Lộc"") (iv)","Công ty TNHH Đầu tư Kinh doanh Thương mại Phát Lộc (""Công ty Phát Lộc"") (iv)","Công ty TNHH Đầu tư Kinh doanh Thương mại Phát Lộc (""Công ty Phát Lộc"") (iv)","51,00",-,342.076,-,(*),"51,00",-,342.076,-,(*),51.0,,342076.0,,,51.0,,342076.0,,
"Công ty Cổ phần Di chuyển Xanh và Thông minh (""Công ty GSM"") (v)","Công ty Cổ phần Di chuyển Xanh và Thông minh (""Công ty GSM"") (v)","Công ty Cổ phần Di chuyển Xanh và Thông minh (""Công ty GSM"") (v)","4,80","4,80",297.368,-,(*),-,-,-,-,-,4.8,4.8,297368.0,,,,,,,
"Công ty Cổ phần Thương mại Dịch vụ Giải trí NewLife (""Công ty NewLife"") (vi)","Công ty Cổ phần Thương mại Dịch vụ Giải trí NewLife (""Công ty NewLife"") (vi)","Công ty Cổ phần Thương mại Dịch vụ Giải trí NewLife (""Công ty NewLife"") (vi)","10,00","10,00",199.000,-,(*),-,-,-,-,-,10.0,10.0,199000.0,,,,,,,
Công ty Trường Lộc (iii),Công ty Trường Lộc (iii),Công ty Trường Lộc (iii),"1,00","1,00",47.347,-,(*),-,-,-,-,-,1.0,1.0,47347.0,,,,,,,
"Công ty Cổ phần Quản lý và Đầu tư Bất động sản VMI (""Công ty VMI"") (vii)","Công ty Cổ phần Quản lý và Đầu tư Bất động sản VMI (""Công ty VMI"") (vii)","Công ty Cổ phần Quản lý và Đầu tư Bất động sản VMI (""Công ty VMI"") (vii)",-,-,-,-,-,"10,00","10,00",1.800.000,-,(*),,,,,,10.0,10.0,1800000.0,,
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,-,-,528.499,(185.655),,-,-,473.907,(166.336),,,,528499.0,-185655.0,,,,473907.0,-166336.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,13.892.460,(826.314),,,,10.691.516,(166.336),,,,13892460.0,-826314.0,,,,10691516.0,-166336.0,
