row_label_raw,row_label_full,col_0,Don vị tính: triệu VND,Don vị tính: triệu VND_1,numeric__Don vị tính: triệu VND,numeric__Don vị tính: triệu VND_1
,,,Năm nay,Năm trước,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,22.132.506,5.809.849,22132506.0,5809849.0
Thu nhập từ tài trợ (i),Thu nhập từ tài trợ (i),Thu nhập từ tài trợ (i),20.679.366,398.896,20679366.0,398896.0
Tiền phạt thu được,Tiền phạt thu được,Tiền phạt thu được,319.670,530.239,319670.0,530239.0
"Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định",9.871,4.421.143,9871.0,4421143.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,1.123.599,459.571,1123599.0,459571.0
Chi phí khác,Chi phí khác,Chi phí khác,3.457.771,1.058.694,3457771.0,1058694.0
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,2.627.269,146.988,2627269.0,146988.0
"Lỗ từ thanh lý, nhượng bán tài sản cố định","Lỗ từ thanh lý, nhượng bán tài sản cố định","Lỗ từ thanh lý, nhượng bán tài sản cố định",204.274,339.272,204274.0,339272.0
Chi phí khác,Chi phí khác,Chi phí khác,626.228,572.434,626228.0,572434.0
LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,18.674.735,4.751.155,18674735.0,4751155.0
