row_label_raw,row_label_full,Bên cho vay/thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 6Trong đó: vay dài hạn đến hạn trả > Các bên thu xếp tín dụng của khoản vay hợp vốn 7Trong đó: vay dài hạn đến hạn trả > Các bên thu xếp tín dụng của khoản vay hợp vốn 8 > Các bên thu xếp tín dụng của khoản vay hợp vốn 9Trong đó: vay dài hạn đến hạn trả > Các bên thu xếp tín dụng của khoản vay hợp vốn 10Trong đó: vay dài hạn đến hạn trả > Các bên thu xếp tín dụng của khoản vay hợp vốn 11 > Các bên thu xếp tín dụng của khoản vay hợp vốn 12,Số cuối năm > Nguyên tệ > USDUSD > USD > USDUSD > VNDVND > VND > USD,Số cuối năm > Triệu VND > 7.398.3571.329.056 > 3.109.286129.791 > 5.848.581 > 5.673.759444.436 > 831.25062.344 > 730.000 > 5.111.999,Ngày đảo hạn > Từ tháng 1 năm 2024 đến tháng 2 năm 2026 > Từ tháng 11 năm 2024 đến tháng 11 năm 2029 > Từ tháng 11 năm 2025 đến tháng 11 năm 2026 > Từ tháng 10 năm 2024 đến tháng 3 năm 2028 > Từ tháng 10 năm 2024 đến tháng 4 năm 2028 > Từ tháng 1 năm 2025 đến tháng 11 năm 2026 > Từ tháng 2 năm 2025 đến tháng 11 năm 2026,"Tài sân dăm bảo > (ii) > (ii), (iii) > (ii)",numeric__Số cuối năm > Nguyên tệ > USDUSD > USD > USDUSD > VNDVND > VND > USD,numeric__Số cuối năm > Triệu VND > 7.398.3571.329.056 > 3.109.286129.791 > 5.848.581 > 5.673.759444.436 > 831.25062.344 > 730.000 > 5.111.999,numeric__Ngày đảo hạn > Từ tháng 1 năm 2024 đến tháng 2 năm 2026 > Từ tháng 11 năm 2024 đến tháng 11 năm 2029 > Từ tháng 11 năm 2025 đến tháng 11 năm 2026 > Từ tháng 10 năm 2024 đến tháng 3 năm 2028 > Từ tháng 10 năm 2024 đến tháng 4 năm 2028 > Từ tháng 1 năm 2025 đến tháng 11 năm 2026 > Từ tháng 2 năm 2025 đến tháng 11 năm 2026,"numeric__Tài sân dăm bảo > (ii) > (ii), (iii) > (ii)"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,84.784.554,,,,84784554.0,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,,68.130.32016.654.234,,,,6813032016654234.0,,
