row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước(Trình bày lại),numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước(Trình bày lại)
Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ:,,,,
Cấn trừ công nợ phải thu từ thanh lý tài sản xe xăng và phải trả liên quan đến nhận chuyển nhượng cổ phần,Các giao dịch không bằng tiền ảnh hưởng trọng yếu đến báo cáo lưu chuyển tiền tệ: > Cấn trừ công nợ phải thu từ thanh lý tài sản xe xăng và phải trả liên quan đến nhận chuyển nhượng cổ phần,Cấn trừ công nợ phải thu từ thanh lý tài sản xe xăng và phải trả liên quan đến nhận chuyển nhượng cổ phần,-,24.208.340,,24208340.0
Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,Số tiền đi vay thực thu trong năm:,,,,
Tiền thu từ đi vay theo khế ước thông thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ đi vay theo khế ước thông thường,Tiền thu từ đi vay theo khế ước thông thường,93.363.931,47.082.098,93363931.0,47082098.0
Tiền thu từ phát hành trái phiếu thường,Số tiền đi vay thực thu trong năm: > Tiền thu từ phát hành trái phiếu thường,Tiền thu từ phát hành trái phiếu thường,15.206.560,22.978.275,15206560.0,22978275.0
Tiền thu từ phát hành trái phiếu hoán đổi,Số tiền đi vay thực thu trong năm: > Tiền thu từ phát hành trái phiếu hoán đổi,Tiền thu từ phát hành trái phiếu hoán đổi,5.897.106,-,5897106.0,
Tiền thu từ vay chuyển đổi,Số tiền đi vay thực thu trong năm: > Tiền thu từ vay chuyển đổi,Tiền thu từ vay chuyển đổi,1.190.475,-,1190475.0,
Số tiền đã thực trả gốc vay trong năm: (*),Số tiền đã thực trả gốc vay trong năm: (*),Số tiền đã thực trả gốc vay trong năm: (*),,,,
Tiền trả nợ gốc vay theo khế ước thông thường,Số tiền đã thực trả gốc vay trong năm: (*) > Tiền trả nợ gốc vay theo khế ước thông thường,Tiền trả nợ gốc vay theo khế ước thông thường,(62.283.551),(33.602.808),-62283551.0,-33602808.0
Tiền trả nợ gốc trái phiếu thường,Số tiền đã thực trả gốc vay trong năm: (*) > Tiền trả nợ gốc trái phiếu thường,Tiền trả nợ gốc trái phiếu thường,(9.226.545),(13.684.455),-9226545.0,-13684455.0
Tiền mua lại trái phiếu hoán đổi,Số tiền đã thực trả gốc vay trong năm: (*) > Tiền mua lại trái phiếu hoán đổi,Tiền mua lại trái phiếu hoán đổi,(6.110.000),-,-6110000.0,
