row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Bản quyền, chi phí phát triển và các tài sản khác",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Bản quyền, chi phí phát triển và các tài sản khác",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,529.499,3.628.664,24.833.863,2.207.996,31.200.022,529499.0,3628664.0,24833863.0,2207996.0,31200022.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,98.168,-,6.887,105.055,,98168.0,,6887.0,105055.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),-,891.658,17.244.727,103.136,18.239.521,,891658.0,17244727.0,103136.0,18239521.0
Giảm do mất quyền kiểm soát công ty con,Nguyên giá: > Giảm do mất quyền kiểm soát công ty con,Giảm do mất quyền kiểm soát công ty con,-,(553),(174.300),(256),(175.109),,-553.0,-174300.0,-256.0,-175109.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,39.437,(795.468),659.421,(24.600),(121.210),39437.0,-795468.0,659421.0,-24600.0,-121210.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,568.936,3.822.469,42.563.711,2.293.163,49.248.279,568936.0,3822469.0,42563711.0,2293163.0,49248279.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,629.439,8.674.500,56.282,9.360.221,,629439.0,8674500.0,56282.0,9360221.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,128.618,1.661.989,10.566.752,444.881,12.802.240,128618.0,1661989.0,10566752.0,444881.0,12802240.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,22.576,605.387,3.864.549,206.508,4.699.020,22576.0,605387.0,3864549.0,206508.0,4699020.0
Giảm do mất quyền kiểm soát công ty con,Giá trị hao mòn lũy kế: > Giảm do mất quyền kiểm soát công ty con,Giảm do mất quyền kiểm soát công ty con,-,(511),(27.095),(256),(27.862),,-511.0,-27095.0,-256.0,-27862.0
Thay đổi khác,Giá trị hao mòn lũy kế: > Thay đổi khác,Thay đổi khác,-,(231.458),98.860,(23.220),(155.818),,-231458.0,98860.0,-23220.0,-155818.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,151.194,2.035.407,14.503.066,627.913,17.317.580,151194.0,2035407.0,14503066.0,627913.0,17317580.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,400.881,1.966.675,14.267.111,1.763.115,18.397.782,400881.0,1966675.0,14267111.0,1763115.0,18397782.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,417.742,1.787.062,28.060.645,1.665.250,31.930.699,417742.0,1787062.0,28060645.0,1665250.0,31930699.0
