row_label_raw,row_label_full,col_0,"Quyền sử dụng đất và nhà cửa, vật kiến trúc",Máy móc và thiết bị,Tổng cộng,"numeric__Quyền sử dụng đất và nhà cửa, vật kiến trúc",numeric__Máy móc và thiết bị,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,40.764.055,7.681.837,48.445.892,40764055.0,7681837.0,48445892.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,1.778.552,-,1.778.552,1778552.0,,1778552.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),832.919,129.191,962.110,832919.0,129191.0,962110.0
Phân loại sang tài sản cố định hữu hình(Thuyết minh số 14),Nguyên giá: > Phân loại sang tài sản cố định hữu hình(Thuyết minh số 14),Phân loại sang tài sản cố định hữu hình(Thuyết minh số 14),(503.284),(15.639),(518.923),-503284.0,-15639.0,-518923.0
Giảm do mất quyền kiểm soát công ty con,Nguyên giá: > Giảm do mất quyền kiểm soát công ty con,Giảm do mất quyền kiểm soát công ty con,(634.826),(122.689),(757.515),-634826.0,-122689.0,-757515.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(190.786),(6.941),(197.727),-190786.0,-6941.0,-197727.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(454.049),(154.159),(608.208),-454049.0,-154159.0,-608208.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,41.592.581,7.511.600,49.104.181,41592581.0,7511600.0,49104181.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,540.453,1.762.959,2.303.412,540453.0,1762959.0,2303412.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,6.329.530,3.809.284,10.138.814,6329530.0,3809284.0,10138814.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,1.240.592,451.050,1.691.642,1240592.0,451050.0,1691642.0
Phân loại sang tài sản cố định hữu hình(Thuyết minh số 14),Giá trị khấu hao lũy kế: > Phân loại sang tài sản cố định hữu hình(Thuyết minh số 14),Phân loại sang tài sản cố định hữu hình(Thuyết minh số 14),(35.859),(7.888),(43.747),-35859.0,-7888.0,-43747.0
Giảm do mất quyền kiểm soát công ty con,Giá trị khấu hao lũy kế: > Giảm do mất quyền kiểm soát công ty con,Giảm do mất quyền kiểm soát công ty con,(122.514),(90.142),(212.656),-122514.0,-90142.0,-212656.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(30.290),(4.937),(35.227),-30290.0,-4937.0,-35227.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,21.245,5.786,27.031,21245.0,5786.0,27031.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,7.402.704,4.163.153,11.565.857,7402704.0,4163153.0,11565857.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,34.434.525,3.872.553,38.307.078,34434525.0,3872553.0,38307078.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,34.189.877,3.348.447,37.538.324,34189877.0,3348447.0,37538324.0
