row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: triệu VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,34.874.264,36.539.334,34874264.0,36539334.0
- Một đối tác doanh nghiệp (*),- Một đối tác doanh nghiệp (*),- Một đối tác doanh nghiệp (*),5.380.440,7.134.689,5380440.0,7134689.0
- Phải trả các nhà cung cấp khác,- Phải trả các nhà cung cấp khác,- Phải trả các nhà cung cấp khác,29.493.824,29.404.645,29493824.0,29404645.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,34.874.264,36.539.334,34874264.0,36539334.0
