row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm(Trình bày lại) > Giá trị (đồng thời là sốcó khả năng trả nợ),Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: triệu VND > Số cuối nămGiá trị (đồng thời là sốcó khả năng trả nợ),numeric__Thuyết minh,numeric__Số đầu năm(Trình bày lại) > Giá trị (đồng thời là sốcó khả năng trả nợ),numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: triệu VND > Số cuối nămGiá trị (đồng thời là sốcó khả năng trả nợ)
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,,,,,
Vay ngắn hạn,Vay và nợ thuê tài chính ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,26.1,15.314.812,66.081.279,(39.553.267),41.842.824,261.0,15314812.0,66081279.0,-39553267.0,41842824.0
- Vay hạn mức tín dụng,Vay và nợ thuê tài chính ngắn hạn > - Vay hạn mức tín dụng,- Vay hạn mức tín dụng,,14.984.332,59.618.968,(37.885.582),36.717.718,,14984332.0,59618968.0,-37885582.0,36717718.0
- Vay ngắn hạn khác,Vay và nợ thuê tài chính ngắn hạn > - Vay ngắn hạn khác,- Vay ngắn hạn khác,,330.480,6.462.311,(1.667.685),5.125.106,,330480.0,6462311.0,-1667685.0,5125106.0
Vay dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,26.2,16.086.798,19.667.174,(19.099.738),16.654.234,262.0,16086798.0,19667174.0,-19099738.0,16654234.0
Trái phiếu dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,26.3,9.192.847,52.190.243,(15.336.545),46.046.545,263.0,9192847.0,52190243.0,-15336545.0,46046545.0
Trái phiếu hoàn đối đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Trái phiếu hoàn đối đến hạn trả,Trái phiếu hoàn đối đến hạn trả,26.4,-,10.451.913,-,10.451.913,264.0,,10451913.0,,10451913.0
Vay chuyển đổi ngắn hạn,Vay và nợ thuê tài chính ngắn hạn > Vay chuyển đổi ngắn hạn,Vay chuyển đổi ngắn hạn,26.5,-,1.181.975,-,1.181.975,265.0,,1181975.0,,1181975.0
Nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,,-,58.115,(405),57.710,,,58115.0,-405.0,57710.0
TỔNG CỘNG,Vay và nợ thuê tài chính ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,40.594.457,149.630.699,(73.989.955),116.235.201,,40594457.0,149630699.0,-73989955.0,116235201.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,,,,,
Vay dài hạn,Vay và nợ thuê tài chính dài hạn > Vay dài hạn,Vay dài hạn,26.2,61.410.373,34.969.848,(28.249.901),68.130.320,262.0,61410373.0,34969848.0,-28249901.0,68130320.0
Trái phiếu dài hạn,Vay và nợ thuê tài chính dài hạn > Trái phiếu dài hạn,Trái phiếu dài hạn,26.3,58.393.968,21.349.977,(50.986.753),28.757.192,263.0,58393968.0,21349977.0,-50986753.0,28757192.0
Nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn > Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,,-,201.007,(70.329),130.678,,,201007.0,-70329.0,130678.0
TỔNG CỘNG,Vay và nợ thuê tài chính dài hạn > TỔNG CỘNG,TỔNG CỘNG,,119.804.341,56.520.832,(79.306.983),97.018.190,,119804341.0,56520832.0,-79306983.0,97018190.0
