row_label_raw,row_label_full,Ông Nguyễn Thế Anh,Trường Ban kiểm soát,numeric__Trường Ban kiểm soát
Bà Đỗ Thị Hồng Vân,Bà Đỗ Thị Hồng Vân,Bà Đỗ Thị Hồng Vân,Thành viên,
Bà Nguyễn Hồng Mai,Bà Nguyễn Hồng Mai,Bà Nguyễn Hồng Mai,Thành viên,
