row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: triệu VND > Số đầu năm,Đơn vị tính: triệu VND > Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Bất động sản đề bán đã hoàn thành,Bất động sản đề bán đã hoàn thành,Bất động sản đề bán đã hoàn thành,2.146.802,(63.427),2.376.032,(63.227),2146802.0,-63427.0,2376032.0,-63227.0
Bất động sản đề bán đang xây dựng,Bất động sản đề bán đang xây dựng,Bất động sản đề bán đang xây dựng,59.956.906,-,76.358.348,-,59956906.0,,76358348.0,
Chi phí sản xuất kinh doanh dở dang liên quan đến việc cung cấp dịch vụ xây dựng,Chi phí sản xuất kinh doanh dở dang liên quan đến việc cung cấp dịch vụ xây dựng,Chi phí sản xuất kinh doanh dở dang liên quan đến việc cung cấp dịch vụ xây dựng,1.071.214,-,1.233.851,-,1071214.0,,1233851.0,
Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,Chi phí sản xuất kinh doanh dở dang hàng tồn kho hoạt động sản xuất,4.254.679,(901.736),3.625.278,(553.462),4254679.0,-901736.0,3625278.0,-553462.0
Thành phẩm hàng tồn kho hoạt động sản xuất,Thành phẩm hàng tồn kho hoạt động sản xuất,Thành phẩm hàng tồn kho hoạt động sản xuất,11.522.357,(3.335.002),4.202.361,(1.222.721),11522357.0,-3335002.0,4202361.0,-1222721.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,19.433.943,(4.673.742),13.381.519,(3.340.590),19433943.0,-4673742.0,13381519.0,-3340590.0
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,2.652.060,(326.018),1.498.762,(157.480),2652060.0,-326018.0,1498762.0,-157480.0
Hàng tồn kho khác,Hàng tồn kho khác,Hàng tồn kho khác,1.002.928,(117.218),1.347.903,(99.067),1002928.0,-117218.0,1347903.0,-99067.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,102.040.889,(9.417.143),104.024.054,(5.436.547),102040889.0,-9417143.0,104024054.0,-5436547.0
