row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Doanh thu từ cung cấp dịch vụ,176.696,162.253,,,176696.0,162253.0
Quỹ Thiện Tâm,Quỹ Thiện Tâm,Quỹ Thiện Tâm,Cùng chủ sở hữu,Chỉ phí từ thiện phát sinh trong năm,-,146.112,,,,146112.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Cùng chủ sở hữu,Phải thu từ chuyển nhượng cổ phần,792.330,-,,,792330.0,
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Cùng chủ sở hữu,"Mua dịch vụ thuê văn phòng, khách sạn và tự vấn",175.437,243.961,,,175437.0,243961.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Cùng chủ sở hữu,"Doanh thu liên quan đến cung cấp dịch vụ, hàng hóa",128.904,163.448,,,128904.0,163448.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Cùng chủ sở hữu,Phải thu từ thanh lý tài sản xe xăng,-,28.999.001,,,,28999001.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Cùng chủ sở hữu,Phải trả liên quan đến nhận chuyển nhượng cổ phần,-,24.429.340,,,,24429340.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Cùng chủ sở hữu,Cân trừ công nợ phải thu từ thanh lý tài sản xe xăng và phải trả liên quan đến nhận chuyển nhượng cổ phần,-,(24.208.340),,,,-24208340.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Cùng chủ sở hữu,Cân trừ công nợ phải thu từ thanh lý tài sản xe xăng và phải trả liên quan đến thuê tài sản xe xăng,-,(1.148.215),,,,-1148215.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Cùng chủ sở hữu,Thu tiền từ thanh lý tài sản xe xăng,-,2.000.000,,,,2000000.0
Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Công ty Cổ phần Tập đoàn Đầu tư Việt Nam (“Tập đoàn Đầu tư Việt Nam”),Cùng chủ sở hữu,Phải trả liên quan đến thuê tài sản xe xăng,-,1.148.215,,,,1148215.0
Công ty GSM,Công ty GSM,Công ty GSM,Cùng chủ sở hữu,Doanh thu từ bán hàng,18.969.175,-,,,18969175.0,
Công ty GSM,Công ty GSM,Công ty GSM,Cùng chủ sở hữu,Góp vốn,297.368,-,,,297368.0,
Công ty GSM,Công ty GSM,Công ty GSM,Cùng chủ sở hữu,Lãi phạt chậm nộp,143.856,-,,,143856.0,
Công ty V-G,Công ty V-G,Công ty V-G,Công ty liên doanh,Góp vốn,1.039.033,-,,,1039033.0,
Công ty V-G,Công ty V-G,Công ty V-G,Công ty liên doanh,Doanh thu liên quan đến hợp đồng xây dựng,209.526,-,,,209526.0,
Công ty VMI,Công ty VMI,Công ty VMI,Cùng chủ sở hữu,Doanh thu liên quan đến chuyển nhượng bất động sản,1.522.030,-,,,1522030.0,
Công ty VMI,Công ty VMI,Công ty VMI,Cùng chủ sở hữu,"Đầu tư, góp vốn",-,1.800.000,,,,1800000.0
Công ty VMI,Công ty VMI,Công ty VMI,Cùng chủ sở hữu,Phải trả liên quan đến phí dịch vụ môi giới,-,217.505,,,,217505.0
Công ty Asian Star Trading & Investment,Công ty Asian Star Trading & Investment,Công ty Asian Star Trading & Investment,Cùng chủ sở hữu,Tài trợ cho công ty con của Tập đoàn,1.668.005,-,,,1668005.0,
