row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất > Số cuối năm,Bảng cân đối kế toán hợp nhất > Số đầu năm,Đơn vị tính: triệu VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,Đơn vị tính: triệu VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước,numeric__Bảng cân đối kế toán hợp nhất > Số cuối năm,numeric__Bảng cân đối kế toán hợp nhất > Số đầu năm,numeric__Đơn vị tính: triệu VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,numeric__Đơn vị tính: triệu VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chênh lệch tạm thời từ dự phòng chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ dự phòng chi phí phải trả,Chênh lệch tạm thời từ dự phòng chi phí phải trả,382.770,379.688,3.082,46.175,382770.0,379688.0,3082.0,46175.0
Chênh lệch tạm thời từ thuế thu nhập doanh nghiệp tạm nộp 1% trên các khoản nhận tiền trước từ khách hàng,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ thuế thu nhập doanh nghiệp tạm nộp 1% trên các khoản nhận tiền trước từ khách hàng,Chênh lệch tạm thời từ thuế thu nhập doanh nghiệp tạm nộp 1% trên các khoản nhận tiền trước từ khách hàng,361.114,647.653,(282.349),536.868,361114.0,647653.0,-282349.0,536868.0
Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,178.100,153.792,24.308,83.776,178100.0,153792.0,24308.0,83776.0
Chênh lệch tạm thời từ đánh giá lại tài sản khi mua/sáp nhập công ty con,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ đánh giá lại tài sản khi mua/sáp nhập công ty con,Chênh lệch tạm thời từ đánh giá lại tài sản khi mua/sáp nhập công ty con,136.842,145.209,(8.367),(14.906),136842.0,145209.0,-8367.0,-14906.0
Chênh lệch tạm thời từ chi phí bán hàng chưa được khấu trừ trong năm,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ chi phí bán hàng chưa được khấu trừ trong năm,Chênh lệch tạm thời từ chi phí bán hàng chưa được khấu trừ trong năm,51.481,39.901,11.580,(14.486),51481.0,39901.0,11580.0,-14486.0
Các khoản khác,Tài sản thuế thu nhập hoãn lại > Các khoản khác,Các khoản khác,152.195,263.176,(110.981),12.278,152195.0,263176.0,-110981.0,12278.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Thuế thu nhập hoãn lại phải trả > Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý khi mua công ty con,(751.984),(773.887),21.903,31.476,-751984.0,-773887.0,21903.0,31476.0
Chênh lệch tạm thời từ lỗ chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Thuế thu nhập hoãn lại phải trả > Chênh lệch tạm thời từ lỗ chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Chênh lệch tạm thời từ lỗ chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,(317.988),(291.022),(26.966),(141.115),-317988.0,-291022.0,-26966.0,-141115.0
