row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Số cuối nămTriệu VND,Lãi suất%/năm,Ngày đáo hạn,Tài sảnđảm báo,numeric__Mối quan hệ,numeric__Số cuối nămTriệu VND,numeric__Lãi suất%/năm,numeric__Ngày đáo hạn,numeric__Tài sảnđảm báo
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Công ty Đô ThịXanh,Vay dài hạn > Công ty Đô ThịXanh,Công ty Đô ThịXanh,Công ty cùngthành viên quản lýchủ chốt đến ngày24 tháng 2 năm2023,2.170.828,9%,Tháng 6 năm 2024,Không,,2170828.0,0.09,,
,,,,2.170.828,2.170.828,,,,2170828.0,2170828.0,,
