row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/giảm khác trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/giảm khác trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,7.842.589,5.731.787,(10.969.567),2.604.809,7842589.0,5731787.0,-10969567.0,2604809.0
Thuế tiêu thụ đặc biệt,Phải nộp > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,1.168.107,909.178,(1.913.628),163.657,1168107.0,909178.0,-1913628.0,163657.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,9.843.867,11.276.803,(6.871.504),14.249.166,9843867.0,11276803.0,-6871504.0,14249166.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,631.371,2.763.174,(2.603.959),790.586,631371.0,2763174.0,-2603959.0,790586.0
"Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Phải nộp > Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao","Tiền sử dụng đất, thuê đất và các nghĩa vụ theo hợp đồng xây dựng – chuyển giao",2.056.432,2.928.918,(4.954.398),30.952,2056432.0,2928918.0,-4954398.0,30952.0
Thuế và các khoản phải nộp Nhà nước khác,Phải nộp > Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,801.566,4.347.696,(3.590.749),1.558.513,801566.0,4347696.0,-3590749.0,1558513.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,22.343.932,27.957.556,(30.903.805),19.397.683,22343932.0,27957556.0,-30903805.0,19397683.0
,,,Số đầu năm,Số phải thu trong năm,Số đã cản trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,324.215,8.816,(59.668),273.363,324215.0,8816.0,-59668.0,273363.0
Thuế và các khoản phải thu Nhà nước khác,Phải thu > Thuế và các khoản phải thu Nhà nước khác,Thuế và các khoản phải thu Nhà nước khác,14.233,12.768,(8.028),18.973,14233.0,12768.0,-8028.0,18973.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,338.448,21.584,(67.696),292.336,338448.0,21584.0,-67696.0,292336.0
