row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,,,,,,,,,
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,38.688.573,40.050.133,18.481.872,(1.344.123),(218.139),87.845,14.346.643,25.562.645,135.655.449,38688573.0,40050133.0,18481872.0,-1344123.0,-218139.0,87845.0,14346643.0,25562645.0,135655449.0
- Tăng vốn (i),Năm nay > - Tăng vốn (i),- Tăng vốn (i),97.260,-,-,-,-,-,-,-,97.260,97260.0,,,,,,,,97260.0
- Lợi nhuận/(lỗ) thuần trong năm,Năm nay > - Lợi nhuận/(lỗ) thuần trong năm,- Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,-,-,2.156.925,(100.864),2.056.061,,,,,,,2156925.0,-100864.0,2056061.0
- Chuyển nhượng công ty con (ii),Năm nay > - Chuyển nhượng công ty con (ii),- Chuyển nhượng công ty con (ii),-,-,-,-,-,-,22.053,(180.500),(158.447),,,,,,,22053.0,-180500.0,-158447.0
- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát (iii),Năm nay > - Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát (iii),- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát (iii),-,133.746,-,-,-,-,1.188.686,(1.640.658),(318.226),,133746.0,,,,,1188686.0,-1640658.0,-318226.0
- Tăng vốn từ thặng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối (iv),Năm nay > - Tăng vốn từ thặng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối (iv),- Tăng vốn từ thặng dư vốn cổ phần và lợi nhuận sau thuế chưa phân phối (iv),-,-,3.539.201,-,-,-,(3.539.201),-,-,,,3539201.0,,,,-3539201.0,,
- Góp vốn từ cổ đông không kiểm soát (v),Năm nay > - Góp vốn từ cổ đông không kiểm soát (v),- Góp vốn từ cổ đông không kiểm soát (v),-,-,-,-,-,-,-,10.740.611,10.740.611,,,,,,,,10740611.0,10740611.0
- Trả cổ tức (vi),Năm nay > - Trả cổ tức (vi),- Trả cổ tức (vi),-,-,-,-,-,-,(60.950),-,(60.950),,,,,,,-60950.0,,-60950.0
- Thay đổi khác,Năm nay > - Thay đổi khác,- Thay đổi khác,-,-,-,-,108.943,10.000,(8.463),99.448,209.928,,,,,108943.0,10000.0,-8463.0,99448.0,209928.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,38.785.833,40.183.879,22.021.073,(1.344.123),(109.196),97.845,14.105.693,34.480.682,148.221.686,38785833.0,40183879.0,22021073.0,-1344123.0,-109196.0,97845.0,14105693.0,34480682.0,148221686.0
