row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tạm ứng tiền giải phóng mặt bằng,Ngắn hạn > Tạm ứng tiền giải phóng mặt bằng,Tạm ứng tiền giải phóng mặt bằng,39.582.598,14.127.114,39582598.0,14127114.0
Tạm ứng theo hợp đồng hợp tác đầu tư và kinh doanh (i),Ngắn hạn > Tạm ứng theo hợp đồng hợp tác đầu tư và kinh doanh (i),Tạm ứng theo hợp đồng hợp tác đầu tư và kinh doanh (i),36.498.402,34.332.810,36498402.0,34332810.0
Phải thu hợp đồng xây dựng chuyển giao (ii),Ngắn hạn > Phải thu hợp đồng xây dựng chuyển giao (ii),Phải thu hợp đồng xây dựng chuyển giao (ii),10.081.702,2.055.560,10081702.0,2055560.0
Phải thu từ việc chi hộ,Ngắn hạn > Phải thu từ việc chi hộ,Phải thu từ việc chi hộ,3.662.294,887.005,3662294.0,887005.0
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, cho vay và lãi từ các hợp đồng, thỏa thuận khác","Ngắn hạn > Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, cho vay và lãi từ các hợp đồng, thỏa thuận khác","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, cho vay và lãi từ các hợp đồng, thỏa thuận khác",3.448.139,1.124.269,3448139.0,1124269.0
"Phải thu từ việc chuyển giao hợp đồng mua, bán nợ","Ngắn hạn > Phải thu từ việc chuyển giao hợp đồng mua, bán nợ","Phải thu từ việc chuyển giao hợp đồng mua, bán nợ",821.600,-,821600.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,2.654.075,3.337.612,2654075.0,3337612.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,96.748.810,55.864.370,96748810.0,55864370.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 36),Trong đó: > Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 36),Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 36),95.559,77.389,95559.0,77389.0
Phải thu ngắn hạn khác từ các đối tác khác,Trong đó: > Phải thu ngắn hạn khác từ các đối tác khác,Phải thu ngắn hạn khác từ các đối tác khác,96.653.251,55.786.981,96653251.0,55786981.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Đặt cọc, ký quỹ cho mục đích phát triển dự án và thực hiện hợp đồng (iii)","Dài hạn > Đặt cọc, ký quỹ cho mục đích phát triển dự án và thực hiện hợp đồng (iii)","Đặt cọc, ký quỹ cho mục đích phát triển dự án và thực hiện hợp đồng (iii)",5.017.022,4.323.443,5017022.0,4323443.0
Đặt cọc thuê mặt bằng kinh doanh,Dài hạn > Đặt cọc thuê mặt bằng kinh doanh,Đặt cọc thuê mặt bằng kinh doanh,915.257,362.084,915257.0,362084.0
"Phải thu từ việc chuyển giao hợp đồng mua, bán nợ","Dài hạn > Phải thu từ việc chuyển giao hợp đồng mua, bán nợ","Phải thu từ việc chuyển giao hợp đồng mua, bán nợ",-,821.600,,821600.0
Phải thu khác,Dài hạn > Phải thu khác,Phải thu khác,175.435,215.024,175435.0,215024.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,6.107.714,5.722.151,6107714.0,5722151.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu dài hạn khác từ bên liên quan(Thuyết minh số 36),Trong đó: > Phải thu dài hạn khác từ bên liên quan(Thuyết minh số 36),Phải thu dài hạn khác từ bên liên quan(Thuyết minh số 36),-,71.297,,71297.0
Phải thu dài hạn khác từ các đối tác khác,Trong đó: > Phải thu dài hạn khác từ các đối tác khác,Phải thu dài hạn khác từ các đối tác khác,6.107.714,5.650.854,6107714.0,5650854.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(238.897),(241.091),-238897.0,-241091.0
