row_label_raw,row_label_full,col_0,Kinh doanhchuyển nhượngbắt động sản,Kinh doanhcho thuê bấtđộng sản đầu tu và các dịchvụ liên quan,"Kinh doanhdịch vụ kháchsạn du lịch,vui chơi giảltrí và các dịchvụ liên quan",Hoạt động y tế và các dịchvụ liên quan,Hoạt độnggiáo dục vàcác dịch vụliên quan,Hoạt độngsản xuất vàcác hoạt độngliên quan,Hoạt độngkinh doanhkhác,Điều chỉnh vàloại trừ,Tổng cộng,numeric__Kinh doanhchuyển nhượngbắt động sản,numeric__Kinh doanhcho thuê bấtđộng sản đầu tu và các dịchvụ liên quan,"numeric__Kinh doanhdịch vụ kháchsạn du lịch,vui chơi giảltrí và các dịchvụ liên quan",numeric__Hoạt động y tế và các dịchvụ liên quan,numeric__Hoạt độnggiáo dục vàcác dịch vụliên quan,numeric__Hoạt độngsản xuất vàcác hoạt độngliên quan,numeric__Hoạt độngkinh doanhkhác,numeric__Điều chỉnh vàloại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,94.374.247,8.836.014,8.689.018,4.415.015,5.127.421,28.081.148,11.904.705,-,161.427.568,94374247.0,8836014.0,8689018.0,4415015.0,5127421.0,28081148.0,11904705.0,,161427568.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,650.530,311.819,99.227,-,689.060,11.236.538,(12.987.174),-,,650530.0,311819.0,99227.0,,689060.0,11236538.0,-12987174.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,94.374.247,9.486.544,9.000.837,4.514.242,5.127.421,28.770.208,23.141.243,(12.987.174),161.427.568,94374247.0,9486544.0,9000837.0,4514242.0,5127421.0,28770208.0,23141243.0,-12987174.0,161427568.0
Kết quả hoạt động kinh doanhKhẩu hao và hao mòn (bao gồm lợi thế thương mại),Doanh thu thuần > Kết quả hoạt động kinh doanhKhẩu hao và hao mòn (bao gồm lợi thế thương mại),Kết quả hoạt động kinh doanhKhẩu hao và hao mòn (bao gồm lợi thế thương mại),522.991,1.918.924,2.395.000,559.068,441.986,11.086.003,681.870,-,17.605.842,522991.0,1918924.0,2395000.0,559068.0,441986.0,11086003.0,681870.0,,17605842.0
Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Doanh thu thuần > Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,343,-,-,-,-,(63.420),(34.748),-,(97.825),343.0,,,,,-63420.0,-34748.0,,-97825.0
Thu nhập/(lỗ) thuần trước thuế theo bộ phận,Doanh thu thuần > Thu nhập/(lỗ) thuần trước thuế theo bộ phận,Thu nhập/(lỗ) thuần trước thuế theo bộ phận,32.549.852,4.858.217,(4.716.252),(733.748),583.151,(33.957.834),1.160.380,(203.704),(459.938)14.229.290,32549852.0,4858217.0,-4716252.0,-733748.0,583151.0,-33957834.0,1160380.0,-203704.0,
Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,
Tài sản theo bộ phận,Tài sản và công nợ > Tài sản theo bộ phận,Tài sản theo bộ phận,309.447.313,54.907.443,45.220.883,8.621.692,13.143.399,176.769.997,17.922.483,(19.408.536),606.624.674,309447313.0,54907443.0,45220883.0,8621692.0,13143399.0,176769997.0,17922483.0,-19408536.0,606624674.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,61.031.093,,,,,,,,,61031093.0
Tổng nợ phải trả theo bộ phận,Tài sản và công nợ > Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,190.510.077,6.519.860,13.803.733,1.414.682,3.414.222,52.872.717,20.134.302,(19.408.536),269.261.057250.173.024,190510077.0,6519860.0,13803733.0,1414682.0,3414222.0,52872717.0,20134302.0,-19408536.0,2.6926105725017302e+17
Tổng nợ phải trả không phân bổ,Tổng nợ phải trả không phân bổ,Tổng nợ phải trả không phân bổ,,,,,,,,,,,,,,,,,,
Các thông tin bộ phận khácĐầu tư vào công ty liên kết và liên doanh,Tổng nợ phải trả không phân bổ > Các thông tin bộ phận khácĐầu tư vào công ty liên kết và liên doanh,Các thông tin bộ phận khácĐầu tư vào công ty liên kết và liên doanh,-,-,-,-,-,1.218.036,321.053,-,1.539.089,,,,,,1218036.0,321053.0,,1539089.0
Chỉ phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Tổng nợ phải trả không phân bổ > Chỉ phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Chỉ phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,12.501.886,4.939.076,3.000.753,782.972,2.712.093,30.484.306,1.221.634,-,55.642.720,12501886.0,4939076.0,3000753.0,782972.0,2712093.0,30484306.0,1221634.0,,55642720.0
