row_label_raw,row_label_full,Số đầu năm,Đơn vị tính: triệu VND > Năm nay > 105.708.010,Đơn vị tính: triệu VND > Năm trước > 83.325.334,numeric__Đơn vị tính: triệu VND > Năm nay > 105.708.010,numeric__Đơn vị tính: triệu VND > Năm trước > 83.325.334
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,1.298.460,2.868.218,1298460.0,2868218.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,52.704.415,69.286.389,52704415.0,69286389.0
Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),Chuyển sang tài sản cố định hữu hình(Thuyết minh số 14),(39.729.971),(20.605.360),-39729971.0,-20605360.0
Chuyển sang tài sản cố định vô hình(Thuyết minh số 15),Chuyển sang tài sản cố định vô hình(Thuyết minh số 15),Chuyển sang tài sản cố định vô hình(Thuyết minh số 15),(18.239.521),(12.446.826),-18239521.0,-12446826.0
Chuyển sang bất động sản đầu tư(Thuyết minh số 16),Chuyển sang bất động sản đầu tư(Thuyết minh số 16),Chuyển sang bất động sản đầu tư(Thuyết minh số 16),(962.110),(2.662.101),-962110.0,-2662101.0
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(5.331.089),(2.564.053),-5331089.0,-2564053.0
Giảm do bán công ty con,Giảm do bán công ty con,Giảm do bán công ty con,(94.249),(9.711.005),-94249.0,-9711005.0
Khác,Khác,Khác,(1.842.380),(1.782.586),-1842380.0,-1782586.0
Số cuối năm,Số cuối năm,Số cuối năm,93.511.565,105.708.010,93511565.0,105708010.0
