row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Ngày 31 tháng 12 năm 2022 (Đã được trình bày trước đây),Điều chỉnh,Đơn vị tính: triệu VND > Ngày 31 tháng 12 năm 2022 (Đã được trình bày trước đây) > Ngày 31 tháng 12 năm 2022 (Trình bày lại),numeric__CHỈ TIÊU,numeric__Ngày 31 tháng 12 năm 2022 (Đã được trình bày trước đây),numeric__Điều chỉnh,numeric__Đơn vị tính: triệu VND > Ngày 31 tháng 12 năm 2022 (Đã được trình bày trước đây) > Ngày 31 tháng 12 năm 2022 (Trình bày lại)
BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT,,,,
319,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > 319,319,Phải trả ngắn hạn khác,67.921.473,7.637.320,75.558.793,,67921473.0,7637320.0,75558793.0
320,BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT > 320,320,Vay và nợ thuê tài chính ngắn hạn,48.231.777,(7.637.320),40.594.457,,48231777.0,-7637320.0,40594457.0
,,,,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 (Đã được trình bày trước đây),Điều chỉnh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 (Trình bày lại),,,,
Mã số,Mã số,Mã số,CHỈ TIÊU,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 (Đã được trình bày trước đây),Điều chỉnh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 (Trình bày lại),,,,
BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT,,,,
22,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 22,22,Chi phí tài chính,(14.326.299),-,(14.326.299),,-14326299.0,,-14326299.0
23,BẢO CẢO KẾT QUẢ HOẠT ĐỘNG KINH DOANH HỢP NHẤT > 23,23,Trong đó: Chi phí lãi vay và chi phí phát hành,(10.944.221),185.899,(10.758.322),,-10944221.0,185899.0,-10758322.0
,,,,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 (Đã được trình bày trước đây),Điều chỉnh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 (Trình bày lại),,,,
Mã số,Mã số,Mã số,CHỈ TIÊU,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 (Đã được trình bày trước đây),Điều chỉnh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 (Trình bày lại),,,,
BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT,,,,
6,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT > 6,6,Chi phí lãi vay (bao gồm chi phí phát hành trong năm),10.944.221,(185.899),10.758.322,,10944221.0,-185899.0,10758322.0
11,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT > 11,11,"Tăng các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",99.915.314,7.637.320,107.552.634,,99915314.0,7637320.0,107552634.0
14,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT > 14,14,Tiền lãi vay đã trả,(10.086.550),184.822,(9.901.728),,-10086550.0,184822.0,-9901728.0
21,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT > 21,21,"Tiền chỉ mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",(75.161.529),1.077,(75.160.452),,-75161529.0,1077.0,-75160452.0
33,BẢO CẢO LƯU CHUYỀN TIỀN TỆ HỢP NHẤT > 33,33,Tiền thu từ đi vay,77.697.693,(7.637.320),70.060.373,,77697693.0,-7637320.0,70060373.0
