row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác (Thuyết minh số 9) > Công ty Pin Lithium VinFast > Tài sản ngắn hạn khác (Thuyết minh số 13) > Cá nhân số 4,Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 9) > Công ty liên doanh đến ngày 25 tháng 7 năm 2023 > Tài sản ngắn hạn khác (Thuyết minh số 13) > Thành viên HĐQT một công ty con đến ngày 24 tháng 2 năm 2023,Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9) > Phải thu từ các hợp đồng cho thuê tài chính > Tài sản ngắn hạn khác (Thuyết minh số 13) > Đặt cọc mua cổ phần,Đơn vị tính: triệu VND > Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9) > (**) > - > Tài sản ngắn hạn khác (Thuyết minh số 13) > (*),Đơn vị tính: triệu VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9) > 71.297 > Tài sản ngắn hạn khác (Thuyết minh số 13) > 343.170,numeric__Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 9) > Công ty liên doanh đến ngày 25 tháng 7 năm 2023 > Tài sản ngắn hạn khác (Thuyết minh số 13) > Thành viên HĐQT một công ty con đến ngày 24 tháng 2 năm 2023,numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9) > Phải thu từ các hợp đồng cho thuê tài chính > Tài sản ngắn hạn khác (Thuyết minh số 13) > Đặt cọc mua cổ phần,numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9) > (**) > - > Tài sản ngắn hạn khác (Thuyết minh số 13) > (*),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9) > 71.297 > Tài sản ngắn hạn khác (Thuyết minh số 13) > 343.170
Các cá nhân liên quan khác,Các cá nhân liên quan khác,Các cá nhân liên quan khác,Bên liên quan khác,Đặt cọc mua cổ phần,(*),24.486,,,,24486.0
Các cá nhân liên quan khác,Các cá nhân liên quan khác,Các cá nhân liên quan khác,Bên liên quan khác,Đặt cọc mua cổ phần,-,367.656,,,,367656.0
Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),,,,
Công ty Sài Đồng,Tài sản dài hạn khác (Thuyết minh số 13) > Công ty Sài Đồng,Công ty Sài Đồng,Cùng chủ sở hữu,Đặt cọc cho mục đích nhận chuyển nhượng tài sản,128.325,-,,,128325.0,
Công ty Sài Đồng,Tài sản dài hạn khác (Thuyết minh số 13) > Công ty Sài Đồng,Công ty Sài Đồng,Cùng chủ sở hữu,Đặt cọc cho mục đích nhận chuyển nhượng tài sản,128.325,-,,,128325.0,
Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),,,,
Ông Phạm Nhật Vượng,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch HĐQT Tập đoàn,Nhận tiền để chuyển nhượng cổ phần,1.729.000,-,,,1729000.0,
Công ty V-G,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty V-G,Công ty V-G,Công ty liên doanh,Nhận tiền từ khách hàng liên quan đến hợp đồng xây dựng,72.431,-,,,72431.0,
Công ty GSM,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty GSM,Công ty GSM,Cùng chủ sở hữu,Nhận tiền trước để mua hàng hóa,12.288,-,,,12288.0,
Công ty VMI,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty VMI,Công ty VMI,Cùng chủ sở hữu,Nhận tiền từ khách hàng liên quan đến chuyển nhượng bất động sản,-,1.956.036,,,,1956036.0
Công ty Đô Thị Xanh,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty Đô Thị Xanh,Công ty Đô Thị Xanh,Công ty cùng thành viên quản lý chủ chốt đến ngày 24 tháng 2 năm 2023,Nhận tiền từ khách hàng liên quan đến chuyển nhượng bất động sản,(*),3.294.233,,,,3294233.0
Công ty Cổ phần Đầu tư và Phát triển Thương mại Long Hải,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty Cổ phần Đầu tư và Phát triển Thương mại Long Hải,Công ty Cổ phần Đầu tư và Phát triển Thương mại Long Hải,Công ty cùng thành viên quản lý chủ chốt đến ngày 24 tháng 2 năm 2023,Nhận tiền từ khách hàng liên quan đến chuyển nhượng bất động sản,(*),2.899.468,,,,2899468.0
Công ty Cổ phần Đầu tư và Phát triển Thương mại Long Hải,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty Cổ phần Đầu tư và Phát triển Thương mại Long Hải,Công ty Cổ phần Đầu tư và Phát triển Thương mại Long Hải,Công ty cùng thành viên quản lý chủ chốt đến ngày 24 tháng 2 năm 2023,Nhận tiền từ khách hàng liên quan đến chuyển nhượng bất động sản,1.813.719,8.149.737,,,1813719.0,8149737.0
