row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Số cuối nămTriệu VND,Lãi suất%/năm,Ngày đáo hạn,Tài sảnđảm bảo,numeric__Mối quan hệ,numeric__Số cuối nămTriệu VND,numeric__Lãi suất%/năm,numeric__Ngày đáo hạn,numeric__Tài sảnđảm bảo
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,
Công ty Genestory,Vay dài hạn > Công ty Genestory,Công ty Genestory,Công ty liên kết,14.000,11%,Tháng 6 năm 2025,Không,,14000.0,0.11,,
,,,,14.000,,,,,14000.0,,,
