row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,6.449.021,6.045.822,6449021.0,6045822.0
- Chi phí nhân viên bán hàng,Chi phí bán hàng > - Chi phí nhân viên bán hàng,- Chi phí nhân viên bán hàng,2.471.275,1.896.274,2471275.0,1896274.0
- Chi phí dự phòng bảo hành,Chi phí bán hàng > - Chi phí dự phòng bảo hành,- Chi phí dự phòng bảo hành,2.042.803,685.550,2042803.0,685550.0
"- Chi phí khấu hao, hao mòn tài sản cố định","Chi phí bán hàng > - Chi phí khấu hao, hao mòn tài sản cố định","- Chi phí khấu hao, hao mòn tài sản cố định",473.908,204.484,473908.0,204484.0
- Chi phí bán hàng khác,Chi phí bán hàng > - Chi phí bán hàng khác,- Chi phí bán hàng khác,1.076.900,538.967,1076900.0,538967.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,12.513.907,9.371.097,12513907.0,9371097.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > - Chi phí nhân viên quản lý,- Chi phí nhân viên quản lý,4.551.321,4.211.134,4551321.0,4211134.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,3.473.554,2.845.756,3473554.0,2845756.0
- Chi phí nghiên cứu và phát triển,Chi phí quản lý doanh nghiệp > - Chi phí nghiên cứu và phát triển,- Chi phí nghiên cứu và phát triển,2.584.055,2.612.476,2584055.0,2612476.0
"- Chi phí khấu hao, hao mòn tài sản cố định và phân bổ lợi thế thương mại","Chi phí quản lý doanh nghiệp > - Chi phí khấu hao, hao mòn tài sản cố định và phân bổ lợi thế thương mại","- Chi phí khấu hao, hao mòn tài sản cố định và phân bổ lợi thế thương mại",1.131.959,1.218.041,1131959.0,1218041.0
- Chi phí hỗ trợ và từ thiện,Chi phí quản lý doanh nghiệp > - Chi phí hỗ trợ và từ thiện,- Chi phí hỗ trợ và từ thiện,553.753,1.302.821,553753.0,1302821.0
- Trích lập dự phòng (i),Chi phí quản lý doanh nghiệp > - Trích lập dự phòng (i),- Trích lập dự phòng (i),177.154,2.111.962,177154.0,2111962.0
- Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > - Chi phí quản lý doanh nghiệp khác,- Chi phí quản lý doanh nghiệp khác,991.459,1.651.459,991459.0,1651459.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,13.463.255,15.953.649,13463255.0,15953649.0
