row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Đơn vị tính: triệu VND > Số đầu năm > Giá gốc,Đơn vị tính: triệu VND > Số đầu năm > Giá trị ghi sổ,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Đơn vị tính: triệu VND > Số đầu năm > Giá gốc,numeric__Đơn vị tính: triệu VND > Số đầu năm > Giá trị ghi sổ
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),2.352.924,2.352.924,1.994.665,1.994.665,2352924.0,2352924.0,1994665.0,1994665.0
Trái phiếu ngắn hạn (ii),Trái phiếu ngắn hạn (ii),Trái phiếu ngắn hạn (ii),2.277.479,2.277.479,-,-,2277479.0,2277479.0,,
Các khoản đầu tư khác (iii),Các khoản đầu tư khác (iii),Các khoản đầu tư khác (iii),2.368.268,2.368.268,2.388.268,2.388.268,2368268.0,2368268.0,2388268.0,2388268.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.998.671,6.998.671,4.382.933,4.382.933,6998671.0,6998671.0,4382933.0,4382933.0
