row_label_raw,row_label_full,Số đầu năm > Cộng: Dự phòng trích lập trong năm,Đơn vị tính: triệu VND > Năm nay > 5.436.547 > 7.146.803,Đơn vị tính: triệu VND > Năm trước > 2.108.989 > 5.108.287,numeric__Đơn vị tính: triệu VND > Năm nay > 5.436.547 > 7.146.803,numeric__Đơn vị tính: triệu VND > Năm trước > 2.108.989 > 5.108.287
Trừ: Bán công ty con,Trừ: Bán công ty con,Trừ: Bán công ty con,-,(21.226),,-21226.0
Trừ: Sử dụng dự phòng trong năm,Trừ: Sử dụng dự phòng trong năm,Trừ: Sử dụng dự phòng trong năm,(3.166.207),(1.759.503),-3166207.0,-1759503.0
Số cuối năm,Số cuối năm,Số cuối năm,9.417.143,5.436.547,9417143.0,5436547.0
