row_label_raw,row_label_full,Tài sản đảm bảo
(ii),(ii),(ii)
"(i), (ii)","(i), (ii)","(i), (ii)"
(ii),(ii),(ii)
(ii),(ii),(ii)
(ii),(ii),(ii)
(ii),(ii),(ii)
(ii),(ii),(ii)
(i),(i),(i)
(i),(i),(i)
(ii),(ii),(ii)
(i),(i),(i)
(ii),(ii),(ii)
(ii),(ii),(ii)
