row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty GSM,Công ty GSM,Công ty GSM,Cùng chủ sở hữu,Phải thu từ bán hàng,2.295.142,-,,,2295142.0,
Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Cùng chủ sở hữu,Phải thu từ thanh lý tài sản cố định (***),1.642.446,-,,,1642446.0,
Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Cùng chủ sở hữu,Phải thu từ chuyển nhượng cổ phần,396.165,-,,,396165.0,
Công ty V-G,Công ty V-G,Công ty V-G,Công ty liên doanh,Phải thu từ hợp đồng xây dựng,212.044,-,,,212044.0,
Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Chủ tịch HĐQT Tập đoàn,Phải thu từ chuyển nhượng cổ phần,210.210,-,,,210210.0,
Cá nhân số 8,Cá nhân số 8,Cá nhân số 8,Phó chủ tịch HĐQT Tập đoàn,Phải thu từ chuyển nhượng cổ phần,202.125,-,,,202125.0,
"Công ty Cổ phần Phát triển Đầu tư Kinh doanh Bất động sản SV (""Công ty SV"")","Công ty Cổ phần Phát triển Đầu tư Kinh doanh Bất động sản SV (""Công ty SV"")","Công ty Cổ phần Phát triển Đầu tư Kinh doanh Bất động sản SV (""Công ty SV"")",Công ty cùng thành viên quản lý chủ chốt đến ngày 24 tháng 2 năm 2023,Phải thu từ chuyển nhượng bất động sản (*),(*),505.325,,,,505325.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Các bên liên quan khác,Phải thu khác,130.276,60.675,,,130276.0,60675.0
,,,,,5.088.408,566.000,,,5088408.0,566000.0
Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),Phải thu dài hạn của khách hàng (Thuyết minh số 7.1),,,,
Tập đoàn Đầu tư Việt Nam,Phải thu dài hạn của khách hàng (Thuyết minh số 7.1) > Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Cùng chủ sở hữu,Phải thu từ thanh lý tài sản cố định,-,1.642.446,,,,1642446.0
,,,,,-,1.642.446,,,,1642446.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty TNHH Phát triển Công Viên Trung Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty TNHH Phát triển Công Viên Trung Tâm,Công ty TNHH Phát triển Công Viên Trung Tâm,Cùng chủ sở hữu,Phải thu từ chia sẻ lợi nhuận BCC,51.326,-,,,51326.0,
Công ty Sài Đồng,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Sài Đồng,Công ty Sài Đồng,Cùng chủ sở hữu,Phải thu từ lãi cho vay,44.233,-,,,44233.0,
Công ty SV,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty SV,Công ty SV,Công ty cùng thành viên quản lý chủ chốt đến ngày 24 tháng 2 năm 2023,Phải thu từ lãi chậm nộp,(*),77.389,,,,77389.0
,,,,,95.559,77.389,,,95559.0,77389.0
