row_label_raw,row_label_full,7. Các khoản đầu tư tài chính,7. Các khoản đầu tư tài chính_1,7. Các khoản đầu tư tài chính_2,7. Các khoản đầu tư tài chính_3,7. Các khoản đầu tư tài chính_4,7. Các khoản đầu tư tài chính_5,7. Các khoản đầu tư tài chính_6,numeric__7. Các khoản đầu tư tài chính_1,numeric__7. Các khoản đầu tư tài chính_2,numeric__7. Các khoản đầu tư tài chính_3,numeric__7. Các khoản đầu tư tài chính_4,numeric__7. Các khoản đầu tư tài chính_5,numeric__7. Các khoản đầu tư tài chính_6
(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,(a) Chứng khoán kinh doanh,,,,,,
,,,Số lượng,31/12/2015,31/12/2015,31/12/2015,1/1/2015Đã phân loại lại,1/1/2015Đã phân loại lại,,,,,,
,,,Số lượng,Giá gốcVND,Giá trị hợp lýVND,Số lượng,Giá gốcVND,Giá trị hợp lýVND,,,,,,
Cổ phiếu của Ngân hàng TMCP Quân đội,(a) Chứng khoán kinh doanh > Cổ phiếu của Ngân hàng TMCP Quân đội,Cổ phiếu của Ngân hàng TMCP Quân đội,289.616,2.977.135.749,4.228.437.400,281.185,2.977.135.749,3.494.336.000,289616.0,2977135749.0,4228437400.0,281185.0,2977135749.0,3494336000.0
Cổ phiếu của Công ty Cổ phần LICOGI 12,(a) Chứng khoán kinh doanh > Cổ phiếu của Công ty Cổ phần LICOGI 12,Cổ phiếu của Công ty Cổ phần LICOGI 12,75.750,444.927.000,696.900.000,40.100,244.610.000,284.710.000,75750.0,444927000.0,696900000.0,40100.0,244610000.0,284710000.0
,,,,3.422.062.749,4.925.337.400,,3.221.745.749,3.779.046.000,,3422062749.0,4925337400.0,,3221745749.0,3779046000.0
(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,(b) Đầu tư nắm giữ đến ngày đáo hạn,,,,,,
,,,,31/12/2015,31/12/2015,31/12/2015,1/1/2015Đã phân loại lại,1/1/2015Đã phân loại lại,,,,,,
,,,,Giá gốcVND,Giá trị hợp lýVND,Giá gốcVND,Giá trị hợp lýVND,,,,,,,
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,,,,,,
▪ Tiền gửi có kỳ hạn,Đầu tư nắm giữ đến ngày đáo hạn > ▪ Tiền gửi có kỳ hạn,▪ Tiền gửi có kỳ hạn,,57.771.236.315,(*),79.769.420.165,(*),,,57771236315.0,,79769420165.0,,
▪ Tiền ủy thác đầu tư cho Công ty Cổ phần Chứng khoán Sài Gòn,Đầu tư nắm giữ đến ngày đáo hạn > ▪ Tiền ủy thác đầu tư cho Công ty Cổ phần Chứng khoán Sài Gòn,▪ Tiền ủy thác đầu tư cho Công ty Cổ phần Chứng khoán Sài Gòn,,-,(*),9.988.728.515,(*),,,,,9988728515.0,,
,,,,57.771.236.315,(*),89.758.148.680,(*),,,57771236315.0,,89758148680.0,,
