row_label_raw,row_label_full,col_0,Địa chỉ,Tỷ lệ sở hữu và quyền biểu quyết,31/12/2015 > Giá trị ghi số VND,31/12/2015 > Giá trị hợp lý,Tỷ lệ sở hữu và quyền biểu quyết_1,1/1/2015 > Giá trị ghi số VND,1/1/2015 > Giá trị hợp lý,numeric__Địa chỉ,numeric__Tỷ lệ sở hữu và quyền biểu quyết,numeric__31/12/2015 > Giá trị ghi số VND,numeric__31/12/2015 > Giá trị hợp lý,numeric__Tỷ lệ sở hữu và quyền biểu quyết_1,numeric__1/1/2015 > Giá trị ghi số VND,numeric__1/1/2015 > Giá trị hợp lý
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,
Công ty Cổ phần Za Hưng,Công ty liên kết > Công ty Cổ phần Za Hưng,Công ty Cổ phần Za Hưng,Hà Nội,37%,190.520.723.694,(*),37%,176.102.238.736,(*),,0.37,190520723694.0,,0.37,176102238736.0,
Công ty Cổ phần Thương mại Hà Đô,Công ty liên kết > Công ty Cổ phần Thương mại Hà Đô,Công ty Cổ phần Thương mại Hà Đô,TP. Hồ Chí Minh,29%,412.619.905,(*),29%,412.619.905,(*),,0.29,412619905.0,,0.29,412619905.0,
,,,,,190.933.343.599,(*),,176.514.858.641,(*),,,190933343599.0,,,176514858641.0,
