row_label_raw,row_label_full,Tại ngày 1/1/2015,Kinh doanh bất động sản VND,Xây dựng VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh bất động sản VND,numeric__Xây dựng VND,numeric__Hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,1.849.754.400.378,620.133.934.839,5.042.377.307,(357.681.448.984),2.117.249.263.540,1849754400378.0,620133934839.0,5042377307.0,-357681448984.0,2117249263540.0
Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,-,-,176.514.858.641,-,176.514.858.641,,,176514858641.0,,176514858641.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.849.754.400.378,620.133.934.839,181.557.235.948,(357.681.448.984),2.293.764.122.181,1849754400378.0,620133934839.0,181557235948.0,-357681448984.0,2293764122181.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,891.585.422.114,426.108.731.894,2.975.880.185,(78.220.692.898),1.242.449.341.295,891585422114.0,426108731894.0,2975880185.0,-78220692898.0,1242449341295.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,891.585.422.114,426.108.731.894,2.975.880.185,(78.220.692.898),1.242.449.341.295,891585422114.0,426108731894.0,2975880185.0,-78220692898.0,1242449341295.0
Năm 2014,Năm 2014,Năm 2014,Kinh doanh bất động sản VND,Xây dựng VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,,,,,
Chỉ tiêu vốn,Năm 2014 > Chỉ tiêu vốn,Chỉ tiêu vốn,877.519.641.713,-,-,-,877.519.641.713,877519641713.0,,,,877519641713.0
Khấu hao tài sản cố định hữu hình,Năm 2014 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,(2.713.053.846),(16.417.220.100),(124.670.584),-,(19.254.944.530),-2713053846.0,-16417220100.0,-124670584.0,,-19254944530.0
Khấu hao tài sản cố định vô hình,Năm 2014 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,(656.166.665),-,-,-,(656.166.665),-656166665.0,,,,-656166665.0
Khấu hao bất động sản đầu tư,Năm 2014 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,(11.624.187.040),-,-,-,(11.624.187.040),-11624187040.0,,,,-11624187040.0
