row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,13.945.662.729,98.203.207.917,17.888.289.059,11.546.810.187,10.927.615.770,152.511.585.662,13945662729.0,98203207917.0,17888289059.0,11546810187.0,10927615770.0,152511585662.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,56.535.273,6.062.098.181,1.111.918.182,288.277.984,-,7.518.829.620,56535273.0,6062098181.0,1111918182.0,288277984.0,,7518829620.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(2.196.461.462),-,-,-,(2.196.461.462),,-2196461462.0,,,,-2196461462.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,14.002.198.002,102.068.844.636,19.000.207.241,11.835.088.171,10.927.615.770,157.833.953.820,14002198002.0,102068844636.0,19000207241.0,11835088171.0,10927615770.0,157833953820.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,9.310.105.764,62.443.812.069,13.389.119.043,6.588.914.641,9.518.088.691,101.250.040.208,9310105764.0,62443812069.0,13389119043.0,6588914641.0,9518088691.0,101250040208.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.728.226.144,11.385.698.237,1.562.766.384,1.534.370.076,1.133.959.968,17.345.020.809,1728226144.0,11385698237.0,1562766384.0,1534370076.0,1133959968.0,17345020809.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(2.196.461.462),-,-,-,(2.196.461.462),,-2196461462.0,,,,-2196461462.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,11.038.331.908,71.633.048.844,14.951.885.427,8.123.284.717,10.652.048.659,116.398.599.555,11038331908.0,71633048844.0,14951885427.0,8123284717.0,10652048659.0,116398599555.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.635.556.965,35.759.395.848,4.499.170.016,4.957.895.546,1.409.527.079,51.261.545.454,4635556965.0,35759395848.0,4499170016.0,4957895546.0,1409527079.0,51261545454.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.963.866.094,30.435.795.792,4.048.321.814,3.711.803.454,275.567.111,41.435.354.265,2963866094.0,30435795792.0,4048321814.0,3711803454.0,275567111.0,41435354265.0
