row_label_raw,row_label_full,col_0,col_1,Địa chỉ,% sở hữu và quyền biểu quyết của Tập đoàn tại ngày > 31/12/2015,% sở hữu và quyền biểu quyết của Tập đoàn tại ngày > 1/1/2015,numeric__col_1,numeric__Địa chỉ,numeric__% sở hữu và quyền biểu quyết của Tập đoàn tại ngày > 31/12/2015,numeric__% sở hữu và quyền biểu quyết của Tập đoàn tại ngày > 1/1/2015
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
1,Công ty con > 1,1,Công ty Cổ phần Hà Đô 1,Hà Nội,51%,51%,,,0.51,0.51
2,Công ty con > 2,2,Công ty Cổ phần Hà Đô 23,Hà Nội,60%,60%,,,0.6,0.6
3,Công ty con > 3,3,Công ty Cổ phần Hà Đô 4,TP. Hồ Chí Minh,51%,51%,,,0.51,0.51
4,Công ty con > 4,4,Công ty Cổ phần Đầu tư Khánh Hà (i),TP. Nha Trang,30%,32%,,,0.3,0.32
5,Công ty con > 5,5,Công ty Cổ phần Hà Đô - 756 Sài Gòn (i),TP. Hồ Chí Minh,65%,38%,,,0.65,0.38
6,Công ty con > 6,6,Công ty Cổ phần Cơ điện Xây dựng - Thiết bị Công nghiệp Hà Đô,Hà Nội,51%,51%,,,0.51,0.51
7,Công ty con > 7,7,Công ty Cổ phần Tư vấn Hà Đô,Hà Nội,51%,51%,,,0.51,0.51
8,Công ty con > 8,8,Công ty TNHH MTV Đầu tư Quốc tế Hà Đô (ii),"Viên Chăn, Lào",100%,100%,,,1.0,1.0
9,Công ty con > 9,9,Công ty TNHH MTV Kinh doanh và Môi giới Bất động sản Hà Đô,Hà Nội,100%,100%,,,1.0,1.0
10,Công ty con > 10,10,Công ty TNHH MTV Quản lý - Vận hành - Khai thác Bất động sản Hà Đô,TP. Hồ Chí Minh,100%,100%,,,1.0,1.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
1,Công ty liên kết > 1,1,Công ty Cổ phần Za Hưng,Hà Nội,37%,37%,,,0.37,0.37
2,Công ty liên kết > 2,2,Công ty Cổ phần Thương mại Hà Đô,TP. Hồ Chí Minh,29%,29%,,,0.29,0.29
