row_label_raw,row_label_full,col_0,Quyền sử dụngđất và nhà cửaVND,numeric__Quyền sử dụngđất và nhà cửaVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,245.008.056.665,245008056665.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,445.115.073,445115073.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,245.453.171.738,245453171738.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.605.189.748,28605189748.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,11.938.354.867,11938354867.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,40.543.544.615,40543544615.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,216.402.866.917,216402866917.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,204.909.627.123,204909627123.0
