row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tài chính VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tài chính VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,Số dư tại ngày 1/1/2014,556.873.990.000,33.084.909.500,(903.030.000),2.380.612.511,20.117.245.154,26.515.065.691,112.107.547.588,98.473.618.507,848.649.958.951,556873990000.0,33084909500.0,-903030000.0,2380612511.0,20117245154.0,26515065691.0,112107547588.0,98473618507.0,848649958951.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,94.668.060.000,(33.084.909.500),-,-,(17.418.867.595),-,(44.164.282.905),-,-,94668060000.0,-33084909500.0,,,-17418867595.0,,-44164282905.0,,
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,-,-,82.625.000.000,82.625.000.000,,,,,,,,82625000000.0,82625000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,148.275.298.290,14.534.104.357,162.809.402.647,,,,,,,148275298290.0,14534104357.0,162809402647.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,534.557.516,-,-,-,-,534.557.516,,,,534557516.0,,,,,534557516.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,-,828.960.550,(828.960.550),-,-,,,,,,828960550.0,-828960550.0,,
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,(27.842.821.250),(682.489.500),(28.525.310.750),,,,,,,-27842821250.0,-682489500.0,-28525310750.0
Phát hành cổ phiếu quỹ,Phát hành cổ phiếu quỹ,Phát hành cổ phiếu quỹ,-,-,900.000.000,-,-,-,-,-,900.000.000,,,900000000.0,,,,,,900000000.0
Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,-,-,(3.180.000),-,-,-,-,-,(3.180.000),,,-3180000.0,,,,,,-3180000.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(5.486.772.499),-,(5.486.772.499),,,,,,,-5486772499.0,,-5486772499.0
Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,-,-,-,-,(134),132.865,(8.903.122.126),(1.285.885.584),(10.188.874.979),,,,,-134.0,132865.0,-8903122126.0,-1285885584.0,-10188874979.0
Số dư tại ngày 1/1/2015 - đã báo cáo trước đây,Số dư tại ngày 1/1/2015 - đã báo cáo trước đây,Số dư tại ngày 1/1/2015 - đã báo cáo trước đây,651.542.050.000,-,(6.210.000),2.915.170.027,2.698.377.425,27.344.159.106,173.156.886.548,193.664.347.780,1.051.314.780.886,651542050000.0,,-6210000.0,2915170027.0,2698377425.0,27344159106.0,173156886548.0,193664347780.0,1051314780886.0
Phân loại lại (Thuyết minh 37),Phân loại lại (Thuyết minh 37),Phân loại lại (Thuyết minh 37),-,-,-,-,27.344.159.106,(27.344.159.106),-,-,-,,,,,27344159106.0,-27344159106.0,,,
Số dư tại ngày 1/1/2015 – phân loại lại,Số dư tại ngày 1/1/2015 – phân loại lại,Số dư tại ngày 1/1/2015 – phân loại lại,651.542.050.000,-,(6.210.000),2.915.170.027,30.042.536.531,-,173.156.886.548,193.664.347.780,1.051.314.780.886,651542050000.0,,-6210000.0,2915170027.0,30042536531.0,,173156886548.0,193664347780.0,1051314780886.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,32.576.790.000,-,-,-,-,-,(32.576.790.000),-,-,32576790000.0,,,,,,-32576790000.0,,
Góp vốn,Góp vốn,Góp vốn,-,-,-,-,-,-,-,135.125.000.000,135.125.000.000,,,,,,,,135125000000.0,135125000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,123.458.764.551,15.766.875.771,139.225.640.322,,,,,,,123458764551.0,15766875771.0,139225640322.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,3.095.225.835,-,-,-,-,3.095.225.835,,,,3095225835.0,,,,,3095225835.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,124.689.378,-,(124.689.378),-,-,,,,,124689378.0,,-124689378.0,,
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,-,(13.759.928.300),(13.759.928.300),,,,,,,,-13759928300.0,-13759928300.0
Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,Mua lại cổ phiếu đã phát hành,-,-,(2.350.000),-,-,-,-,-,(2.350.000),,,-2350000.0,,,,,,-2350000.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,(4.020.000.000),-,(4.020.000.000),,,,,,,-4020000000.0,,-4020000000.0
Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,Biến động khác về vốn chủ sở hữu,-,-,-,-,(3.321.079.037),-,2.553.140.546,(3.477.409.369),(4.245.347.860),,,,,-3321079037.0,,2553140546.0,-3477409369.0,-4245347860.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,684.118.840.000,-,(8.560.000),6.010.395.862,26.846.146.872,-,262.447.312.267,327.318.885.882,1.306.733.020.883,684118840000.0,,-8560000.0,6010395862.0,26846146872.0,,262447312267.0,327318885882.0,1306733020883.0
