row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2015 VND,1/1/2015 VND Đã phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__1/1/2015 VND Đã phân loại lại
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(100 = 110 + 120 + 130 + 140 + 150),TÀI SẢN > Tài sản ngắn hạn(100 = 110 + 120 + 130 + 140 + 150),Tài sản ngắn hạn(100 = 110 + 120 + 130 + 140 + 150),100,,2.240.348.573.447,1.715.675.001.916,100.0,,2240348573447.0,1715675001916.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,695.367.012.660,348.073.109.778,110.0,6.0,695367012660.0,348073109778.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,385.170.319.503,161.928.664.306,111.0,,385170319503.0,161928664306.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,310.196.693.157,186.144.445.472,112.0,,310196693157.0,186144445472.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,61.193.299.064,92.979.894.429,120.0,,61193299064.0,92979894429.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,7(a),3.422.062.749,3.221.745.749,121.0,,3422062749.0,3221745749.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,7(b),57.771.236.315,89.758.148.680,123.0,,57771236315.0,89758148680.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,461.737.347.654,375.268.447.080,130.0,,461737347654.0,375268447080.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,8,318.577.599.215,236.535.820.785,131.0,8.0,318577599215.0,236535820785.0
Trà trước cho người bán ngắn hạn,TÀI SẢN > Trà trước cho người bán ngắn hạn,Trà trước cho người bán ngắn hạn,132,,46.936.337.504,61.788.404.535,132.0,,46936337504.0,61788404535.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,9(a),-,13.955.833.333,135.0,,,13955833333.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,10,105.039.354.415,67.210.822.017,136.0,10.0,105039354415.0,67210822017.0
Dự phòng các khoản phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng các khoản phải thu ngắn hạn khó đòi,Dự phòng các khoản phải thu ngắn hạn khó đòi,137,11,(8.842.269.880),(4.222.433.590),137.0,11.0,-8842269880.0,-4222433590.0
Tài sản thiếu chờ xử lý,TÀI SẢN > Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,26.326.400,-,139.0,,26326400.0,
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,12,985.022.727.787,889.047.977.798,140.0,12.0,985022727787.0,889047977798.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,985.149.276.606,889.232.480.776,141.0,,985149276606.0,889232480776.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(126.548.819),(184.502.978),149.0,,-126548819.0,-184502978.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,37.028.186.282,10.305.572.831,150.0,,37028186282.0,10305572831.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,774.307.552,793.946.278,151.0,,774307552.0,793946278.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,30.741.029.155,8.883.861.710,152.0,,30741029155.0,8883861710.0
Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,20(a),5.014.766.213,438.105.422,153.0,,5014766213.0,438105422.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,,498.083.362,189.659.421,155.0,,498083362.0,189659421.0
