row_label_raw,row_label_full,Tại ngày 31/12/2015,Kinh doanh bất động sản VND,Xây dựng VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,numeric__Kinh doanh bất động sản VND,numeric__Xây dựng VND,numeric__Hoạt động khác VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Tải sản của bộ phận,Tải sản của bộ phận,Tải sản của bộ phận,2.203.280.808.680,786.424.534.291,575.552.291.447,(701.210.271.584),2.864.047.362.834,2203280808680.0,786424534291.0,575552291447.0,-701210271584.0,2864047362834.0
Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,-,-,190.933.343.599,-,190.933.343.599,,,190933343599.0,,190933343599.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,2.203.280.808.680,786.424.534.291,766.485.635.046,(701.210.271.584),3.054.980.706.433,2203280808680.0,786424534291.0,766485635046.0,-701210271584.0,3054980706433.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,1.264.745.768.019,594.329.667.645,9.337.363.943,(120.165.114.057),1.748.247.685.550,1264745768019.0,594329667645.0,9337363943.0,-120165114057.0,1748247685550.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,1.264.745.768.019,594.329.667.645,9.337.363.943,(120.165.114.057),1.748.247.685.550,1264745768019.0,594329667645.0,9337363943.0,-120165114057.0,1748247685550.0
Năm 2015,Năm 2015,Năm 2015,Kinh doanh bất động sản VND,Xây dựng VND,Hoạt động khác VND,Loại trừ VND,Hợp nhất VND,,,,,
Chi tiêu vốn,Năm 2015 > Chi tiêu vốn,Chi tiêu vốn,445.115.073,6.184.098.181,117.695.576.998,(181.818.182),124.142.972.070,445115073.0,6184098181.0,117695576998.0,-181818182.0,124142972070.0
Khấu hao tài sản cố định hữu hình,Năm 2015 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,(2.679.499.340),(14.470.282.757),(195.238.712),-,(17.345.020.809),-2679499340.0,-14470282757.0,-195238712.0,,-17345020809.0
Khấu hao tài sản cố định vô hình,Năm 2015 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,602.136.664,-,-,-,602.136.664,602136664.0,,,,602136664.0
Khấu hao bất động sản đầu tư,Năm 2015 > Khấu hao bất động sản đầu tư,Khấu hao bất động sản đầu tư,(11.938.354.867),-,-,-,(11.938.354.867),-11938354867.0,,,,-11938354867.0
