row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và quyền biểu quyết,Tỷ lệ sở hữu và quyền biểu quyết_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu và quyền biểu quyết,numeric__Tỷ lệ sở hữu và quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,31/12/2016,31/12/2015,,,,
Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Số 031028097 ngày 24 tháng 8 năm 2010,Quản lý tài sản,,,,,,
Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam > Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Công ty TNHH Một thành viên Quản lý Nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Xuất Nhập Khẩu Việt Nam,Số 031028097 ngày 24 tháng 8 năm 2010,Quản lý tài sản,100%,100%,,,1.0,1.0
