row_label_raw,row_label_full,2016,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.537.698,147.837,3.685.535,3537698.0,147837.0,3685535.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,74.222,12.568,86.790,74222.0,12568.0,86790.0
Phân loại sang tài sản có khác,Nguyên giá > Phân loại sang tài sản có khác,Phân loại sang tài sản có khác,(1.229.028),-,(1.229.028),-1229028.0,,-1229028.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,66.736,-,66.736,66736.0,,66736.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(44.466),-,(44.466),-44466.0,,-44466.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.405.162,160.405,2.565.567,2405162.0,160405.0,2565567.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,94.667,94.667,,94667.0,94667.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,-,13.502,13.502,,13502.0,13502.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,108.169,108.169,,108169.0,108169.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.537.698,53.170,3.590.868,3537698.0,53170.0,3590868.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.405.162,52.236,2.457.398,2405162.0,52236.0,2457398.0
