row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,VNDTriệu VND,USDTriệu VND,VàngTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__VàngTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,
"Tiền mặt, vàng","Tải sản > Tiền mặt, vàng","Tiền mặt, vàng",846.500,518.760,252.049,68.506,354.893,2.040.708,846500.0,518760.0,252049.0,68506.0,354893.0,2040708.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,1.607.784,1.108.480,-,-,-,2.716.264,1607784.0,1108480.0,,,,2716264.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tải sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,3.515.358,3.789.064,-,289.292,334.560,7.928.274,3515358.0,3789064.0,,289292.0,334560.0,7928274.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,(2.011.766),1.334.500,-,169.397,538.666,30.797,-2011766.0,1334500.0,,169397.0,538666.0,30797.0
Cho vay khách hàng – gộp,Tải sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,74.035.188,10.558.432,83.018,41.295,41.859,84.759.792,74035188.0,10558432.0,83018.0,41295.0,41859.0,84759792.0
Chứng khoán đầu tư – gộp,Tải sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,20.169.430,-,-,-,-,20.169.430,20169430.0,,,,,20169430.0
"Góp vốn, đầu tư dài hạn – gộp","Tải sản > Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",2.986.645,-,-,-,-,2.986.645,2986645.0,,,,,2986645.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,4.695.579,-,-,-,-,4.695.579,4695579.0,,,,,4695579.0
Tài sản cố khác – gộp,Tải sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,2.528.175,45.451,-,1.986,4.400,2.580.012,2528175.0,45451.0,,1986.0,4400.0,2580012.0
Tổng tài sản (1),Tải sản > Tổng tài sản (1),Tổng tài sản (1),108.372.893,17.354.687,335.067,570.476,1.274.378,127.907.501,108372893.0,17354687.0,335067.0,570476.0,1274378.0,127907501.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,542.634,2.311,-,-,-,544.945,542634.0,2311.0,,,,544945.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,4.646.426,3.286.742,-,109,40,7.933.317,4646426.0,3286742.0,,109.0,40.0,7933317.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,84.003.468,12.714.618,-,564.665,1.242.482,98.525.233,84003468.0,12714618.0,,564665.0,1242482.0,98525233.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,3.000.122,270,-,-,-,3.000.392,3000122.0,270.0,,,,3000392.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,2.463.839,131.556,-,380,1.986,2.597.761,2463839.0,131556.0,,380.0,1986.0,2597761.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,13.123.445,-,-,-,-,13.123.445,13123445.0,,,,,13123445.0
Tổng nợ phải trả (2),Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả (2),Tổng nợ phải trả (2),107.779.934,16.135.497,-,565.154,1.244.508,125.725.093,107779934.0,16135497.0,,565154.0,1244508.0,125725093.0
Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],592.959,1.219.190,335.067,5.322,29.870,2.182.408,592959.0,1219190.0,335067.0,5322.0,29870.0,2182408.0
Trạng thái tiền tệ ngoại bảng (4),Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng (4),Trạng thái tiền tệ ngoại bảng (4),206.423,(153.954),(25.760),855,(26.298),1.266,206423.0,-153954.0,-25760.0,855.0,-26298.0,1266.0
"Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]",799.382,1.065.236,309.307,6.177,3.572,2.183.674,799382.0,1065236.0,309307.0,6177.0,3572.0,2183674.0
