row_label_raw,row_label_full,2016,"Nhà cửa, vật kiến trúc Triệu VND",Máy móc thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND",numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,605.215,597.999,231.633,42.949,555.074,2.032.870,605215.0,597999.0,231633.0,42949.0,555074.0,2032870.0
Chuyển từ chỉ phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chỉ phí xây dựng cơ bản dở dang,Chuyển từ chỉ phí xây dựng cơ bản dở dang,6.049,12.573,10.692,3.372,26.666,59.352,6049.0,12573.0,10692.0,3372.0,26666.0,59352.0
Phân loại sang tài sản có khác,Nguyên giá > Phân loại sang tài sản có khác,Phân loại sang tài sản có khác,(90.301),-,-,-,-,(90.301),-90301.0,,,,,-90301.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(53.207),157,5.733,(37),(14),(47.368),-53207.0,157.0,5733.0,-37.0,-14.0,-47368.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(2.892),(666),(15.919),(119),(86),(19.682),-2892.0,-666.0,-15919.0,-119.0,-86.0,-19682.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,464.864,610.063,232.139,46.165,581.640,1.934.871,464864.0,610063.0,232139.0,46165.0,581640.0,1934871.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,28.302,357.758,163.269,32.506,346.324,928.159,28302.0,357758.0,163269.0,32506.0,346324.0,928159.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.800,56.339,24.847,3.328,57.364,152.678,10800.0,56339.0,24847.0,3328.0,57364.0,152678.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,13.529,(217),2.398,-,218,15.928,13529.0,-217.0,2398.0,,218.0,15928.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(583),(15.485),(119),(75),(16.262),,-583.0,-15485.0,-119.0,-75.0,-16262.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,52.631,413.297,175.029,35.715,403.831,1.080.503,52631.0,413297.0,175029.0,35715.0,403831.0,1080503.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,576.913,240.241,68.364,10.443,208.750,1.104.711,576913.0,240241.0,68364.0,10443.0,208750.0,1104711.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,412.233,196.766,57.110,10.450,177.809,854.368,412233.0,196766.0,57110.0,10450.0,177809.0,854368.0
