row_label_raw,row_label_full,Ngày 31 tháng 12năm 2016,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,numeric__Từ 10 đến90 ngàyTriệu VND,numeric__Từ 91 đến180 ngàyTriệu VND,numeric__Quá hạnTừ 181 đến360 ngàyTriệu VND,numeric__Trên360 ngàyTriệu VND,numeric__TổngTriệu VND
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Các khoản cho vay và phải thu > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,-,110.550,110.550,,,,110550.0,110550.0
Cho vay khách hàng – gộp,Các khoản cho vay và phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,331.659,1.044.497,318.928,767.111,2.462.195,331659.0,1044497.0,318928.0,767111.0,2462195.0
Tải sản có khác – gộp,Các khoản cho vay và phải thu > Tải sản có khác – gộp,Tải sản có khác – gộp,-,-,-,49.615,49.615,,,,49615.0,49615.0
,,,331.659,1.044.497,318.928,927.276,2.622.360,331659.0,1044497.0,318928.0,927276.0,2622360.0
Ngày 31 tháng 12năm 2015,Ngày 31 tháng 12năm 2015,Ngày 31 tháng 12năm 2015,Từ 10 đến90 ngàyTriệu VND,Từ 91 đến180 ngàyTriệu VND,Quá hạnTừ 181 đến360 ngàyTriệu VND,Trên360 ngàyTriệu VND,TổngTriệu VND,,,,,
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Các khoản cho vay và phải thu > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,-,95.000,95.000,,,,95000.0,95000.0
Cho vay khách hàng – gộp,Các khoản cho vay và phải thu > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,393.088,160.565,564.981,395.485,1.514.119,393088.0,160565.0,564981.0,395485.0,1514119.0
Tải sản có khác – gộp,Các khoản cho vay và phải thu > Tải sản có khác – gộp,Tải sản có khác – gộp,-,-,-,93.365,93.365,,,,93365.0,93365.0
,,,393.088,160.565,564.981,583.850,1.702.484,393088.0,160565.0,564981.0,583850.0,1702484.0
