row_label_raw,row_label_full,Được phân loại là tài sản tài chínhđược xác định theo giá trị hợp lýthông qua báo cáo kết quả hoạt độngkinh doanh- Các công cụ tài chính phải sinh vàcác tài sản tài chính khác > Được phân loại là các khoản đầu turnăm giữ đến ngày đáo hạn:- Trái phiếu Chính phủ không có giániêm yết > - Chứng khoán đầu tư giữ đến ngàyđáo hạn khác > Được phân loại là các khoản cho vayvà phải thu:- Tiền gửi tại Ngân hàng Nhà nướcViệt Nam,31/12/2016 > Giá trị ghi số Triệu VND > 9.841 > 100.000 > 10.707.617 > 3.765.279,31/12/2016 > Giá trị hợp lý Triệu VND > (*) > 3.765.279,31/12/2015 > Giá trị ghi số Triệu VND > 30.797 > 150.042 > 15.010.858 > 2.716.264,31/12/2015 > Giá trị hợp lý Triệu VND > (*) > 2.716.264,numeric__31/12/2016 > Giá trị ghi số Triệu VND > 9.841 > 100.000 > 10.707.617 > 3.765.279,numeric__31/12/2016 > Giá trị hợp lý Triệu VND > (*) > 3.765.279,numeric__31/12/2015 > Giá trị ghi số Triệu VND > 30.797 > 150.042 > 15.010.858 > 2.716.264,numeric__31/12/2015 > Giá trị hợp lý Triệu VND > (*) > 2.716.264
- Tiền gửi và cho vay các tổ chứctín dụng khác,- Tiền gửi và cho vay các tổ chứctín dụng khác,- Tiền gửi và cho vay các tổ chứctín dụng khác,8.281.291,(*),7.833.274,(*),8281291.0,,7833274.0,
- Cho vay khách hàng,- Cho vay khách hàng,- Cho vay khách hàng,85.824.814,(*),83.889.887,(*),85824814.0,,83889887.0,
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,571.341,(*),636.469,(*),571341.0,,636469.0,
"- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",840.477,(*),992.429,(*),840477.0,,992429.0,
Được phân loại là tài sản tài chính sẵnsàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵnsàng để bán:- Trái phiếu Chính phủ có giá niêm yết,Được phân loại là tài sản tài chính sẵnsàng để bán:- Trái phiếu Chính phủ có giá niêm yết,6.432.211,6.565.945,-,-,6432211.0,6565945.0,,
- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,- Cổ phiếu có giá niêm yết,33.570,33.570,35.469,35.469,33570.0,33570.0,35469.0,35469.0
- Trái phiếu Chính phủ không có giániêm yết,- Trái phiếu Chính phủ không có giániêm yết,- Trái phiếu Chính phủ không có giániêm yết,2.922.558,(*),3.922.512,(*),2922558.0,,3922512.0,
- Chứng khoán đầu tư sẵn sàng để bánkhác,- Chứng khoán đầu tư sẵn sàng để bánkhác,- Chứng khoán đầu tư sẵn sàng để bánkhác,-,-,722,(*),,,722.0,
"- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",2.811.808,(*),2.824.834,(*),2811808.0,,2824834.0,
