row_label_raw,row_label_full,Ban Tổng Giám đốc,Lê Văn Quyết > Ông Trần Tấn Lộc,Tổng Giám đốc(từ ngày 5 tháng 4 năm 2016) > Quyền Tổng Giám đốc(từ ngày 10 tháng 12 năm 2015đến ngày 4 tháng 4 năm 2016) > Phó Tổng Giám đốc Thương trực(đến ngày 9 tháng 12 năm 2015và từ ngày 5 tháng 4 năm 2016),numeric__Lê Văn Quyết > Ông Trần Tấn Lộc,numeric__Tổng Giám đốc(từ ngày 5 tháng 4 năm 2016) > Quyền Tổng Giám đốc(từ ngày 10 tháng 12 năm 2015đến ngày 4 tháng 4 năm 2016) > Phó Tổng Giám đốc Thương trực(đến ngày 9 tháng 12 năm 2015và từ ngày 5 tháng 4 năm 2016)
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Quốc Hương,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Đào Hồng Châu,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Đình Thị Thu Thảo,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Văn Thái Bảo Nhi,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Lê Anh Tú,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Bà Bùi Đỗ Bích Vân,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Hồ Hoàng Vũ,Phó Tổng Giám đốc kiểmGiám đốc Tài chính,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Lê Hải Lâm,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Quang Triết,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Nguyễn Văn Hào,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Masashi Mochizuki,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Bùi Văn Đạo,Phó Tổng Giám đốc,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Yutaka Moriwaki,Phó Tổng Giám đốc(từ ngày 13 tháng 10 năm 2016),,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ông Cao Xuân Lãnh,Phó Tổng Giám đốc(đến ngày 20 tháng 1 năm 2016),,
