row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.370.973.230.000,10.420.226.000,142.060.574.132,545.892.997.844,2.069.347.027.976,1370973230000.0,10420226000.0,142060574132.0,545892997844.0,2069347027976.0
Tăng vốn từ phát hành cổ phiếu trong năm trước,Tăng vốn từ phát hành cổ phiếu trong năm trước,Tăng vốn từ phát hành cổ phiếu trong năm trước,800.000.000.000,200.906.000.000,-,-,1.000.906.000.000,800000000000.0,200906000000.0,,,1000906000000.0
Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,Lợi nhuận trong năm trước,-,-,-,623.563.232.808,623.563.232.808,,,,623563232808.0,623563232808.0
Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,Trích lập các quỹ trong năm trước,-,-,115.793.917.923,(137.022.704.244),(21.228.786.321),,,115793917923.0,-137022704244.0,-21228786321.0
Chia cổ tức trong năm trước,Chia cổ tức trong năm trước,Chia cổ tức trong năm trước,-,-,-,(325.645.984.500),(325.645.984.500),,,,-325645984500.0,-325645984500.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.170.973.230.000,211.326.226.000,257.854.492.055,706.787.541.908,3.346.941.489.963,2170973230000.0,211326226000.0,257854492055.0,706787541908.0,3346941489963.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.170.973.230.000,211.326.226.000,257.854.492.055,706.787.541.908,3.346.941.489.963,2170973230000.0,211326226000.0,257854492055.0,706787541908.0,3346941489963.0
Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,Lợi nhuận trong năm nay,-,-,-,493.670.969.205,493.670.969.205,,,,493670969205.0,493670969205.0
Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,Trích lập các quỹ trong năm nay,-,-,187.068.969.842,(221.364.931.482),(34.295.961.640),,,187068969842.0,-221364931482.0,-34295961640.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.170.973.230.000,211.326.226.000,444.923.461.897,979.093.579.631,3.806.316.497.528,2170973230000.0,211326226000.0,444923461897.0,979093579631.0,3806316497528.0
