row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,1.680.777.455.097,2.431.732.731.594,1.0,,1680777455097.0,2431732731594.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,VI.2,10.154.024.392,11.291.785.008,2.0,,10154024392.0,11291785008.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,1.670.623.430.705,2.420.440.946.586,10.0,,1670623430705.0,2420440946586.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,VI.3,946.850.381.108,1.458.610.413.310,11.0,,946850381108.0,1458610413310.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,723.773.049.597,961.830.533.276,20.0,,723773049597.0,961830533276.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,VI.4,15.204.013.334,10.441.019.974,21.0,,15204013334.0,10441019974.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,VI.5,71.100.465.271,115.063.311.539,22.0,,71100465271.0,115063311539.0
Trong đó: chi phí lãi vay,Trong đó: chi phí lãi vay,Trong đó: chi phí lãi vay,23,,76.716.671.276,102.900.730.009,23.0,,76716671276.0,102900730009.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,VI.6,31.485.792.127,38.345.232.191,25.0,,31485792127.0,38345232191.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,VI.7,38.187.340.055,44.694.379.443,26.0,,38187340055.0,44694379443.0
10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,10. Lợi nhuận thuần từ hoạt động kinh doanh,30,,598.203.465.478,774.168.630.077,30.0,,598203465478.0,774168630077.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,VI.8,31.915.824.293,21.009.705.656,31.0,,31915824293.0,21009705656.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,VI.9,15.195.498.902,15.182.299.051,32.0,,15195498902.0,15182299051.0
13. Lợi nhuận khác,13. Lợi nhuận khác,13. Lợi nhuận khác,40,,16.720.325.391,5.827.406.605,40.0,,16720325391.0,5827406605.0
14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,14. Tổng lợi nhuận kế toán trước thuế,50,,614.923.790.869,779.996.036.682,50.0,,614923790869.0,779996036682.0
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,15. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,V.16,121.252.821.664,156.432.803.874,51.0,,121252821664.0,156432803874.0
16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,16. Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,-,-,52.0,,,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,17. Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,493.670.969.205,623.563.232.808,60.0,,493670969205.0,623563232808.0
18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,18. Lãi cơ bản trên cổ phiếu,70,VI.10,-,-,70.0,,,
19. Lãi suy giảm trên cổ phiếu,19. Lãi suy giảm trên cổ phiếu,19. Lãi suy giảm trên cổ phiếu,71,VI.10,-,-,71.0,,,
